Year,Week,School,Conference,TotalPenalties,TotalPenaltiesYards,Opponent,HomeAway,Season
2023,2,Indiana,Big Ten,7,60,Indiana State,home,regular
2023,2,Iowa State,Big 12,2,24,Iowa,home,regular
2023,2,Iowa,Big Ten,0,0,Iowa State,away,regular
2023,2,James Madison,Sun Belt,7,56,Virginia,away,regular
2023,2,Virginia,ACC,8,80,James Madison,home,regular
2023,2,Kansas State,Big 12,5,45,Troy,home,regular
2023,2,Troy,Sun Belt,3,22,Kansas State,away,regular
2023,2,Kentucky,SEC,10,70,Eastern Kentucky,home,regular
2023,2,New Mexico State,Conference USA,6,48,Liberty,away,regular
2023,2,Liberty,Conference USA,7,82,New Mexico State,home,regular
2023,2,Old Dominion,Sun Belt,3,21,Louisiana,home,regular
2023,2,Louisiana,Sun Belt,10,70,Old Dominion,away,regular
2023,2,Louisiana Monroe,Sun Belt,3,30,Lamar,home,regular
2023,2,Louisiana Tech,Conference USA,8,80,Northwestern State,home,regular
2023,2,Louisville,ACC,7,44,Murray State,home,regular
2023,2,LSU,SEC,2,20,Grambling,home,regular
2023,2,Texas A&M,SEC,7,55,Miami,away,regular
2023,2,Miami,ACC,10,115,Texas A&M,home,regular
2023,2,UMass,FBS Independents,7,82,Miami (OH),home,regular
2023,2,Miami (OH),Mid-American,8,70,UMass,away,regular
2023,2,Michigan,Big Ten,4,30,UNLV,home,regular
2023,2,UNLV,Mountain West,3,35,Michigan,away,regular
2023,2,Michigan State,Big Ten,5,45,Richmond,home,regular
2023,2,Missouri,SEC,5,50,Middle Tennessee,home,regular
2023,2,Middle Tennessee,Conference USA,6,42,Missouri,away,regular
2023,2,Navy,American Athletic,4,35,Wagner,home,regular
2023,2,Notre Dame,FBS Independents,10,82,NC State,away,regular
2023,2,NC State,ACC,8,54,Notre Dame,home,regular
2023,2,Nevada,Mountain West,3,15,Idaho,home,regular
2023,2,New Mexico,Mountain West,11,95,Tennessee Tech,home,regular
2023,2,Northern Illinois,Mid-American,7,70,Southern Illinois,home,regular
2023,2,Northwestern,Big Ten,4,33,UTEP,home,regular
2023,2,UTEP,Conference USA,6,42,Northwestern,away,regular
2023,2,Ohio State,Big Ten,6,65,Youngstown State,home,regular
2023,2,Oklahoma,Big 12,9,88,SMU,home,regular
2023,2,SMU,American Athletic,2,15,Oklahoma,away,regular
2023,2,Ole Miss,SEC,5,51,Tulane,away,regular
2023,2,Tulane,American Athletic,2,10,Ole Miss,home,regular
2023,2,Oregon,Pac-12,14,124,Texas Tech,away,regular
2023,2,Texas Tech,Big 12,6,65,Oregon,home,regular
2023,2,Oregon State,Pac-12,2,25,UC Davis,home,regular
2023,2,Penn State,Big Ten,7,55,Delaware,home,regular
