Matchup,Time,TV
Western Illinois @ Indiana,6:00 PM	,BTN
BYU @ SMU,6:00 PM	,ESPN2
Duke @ Northwestern,8:00 PM	,FS1
Texas @ Michigan,11:00 AM	,FOX
Bowling Green @ Penn State,11:00 AM	,BTN
Arkansas @ Oklahoma State,11:00 AM	,ABC/ESPN+
Kansas State @ Tulane,11:00 AM	,ESPN
Georgia Tech @ Syracuse,11:00 AM	,ACC Network
Rhode Island @ Minnesota,11:00 AM	,Peacock
Akron @ Rutgers,11:00 AM	,BTN
Pittsburgh @ Cincinnati,11:00 AM	,ESPN2
Merrimack @ UConn,11:00 AM		,None
Troy @ Memphis,11:00 AM	,ESPNU
Army @ Florida Atlantic,11:00 AM	,CBSSN
McNeese @ Texas A&M,11:45 AM	,SEC Network
Tennessee Tech @ Georgia,1:00 PM	,ESPN+/SECN+
Missouri State @ Ball State,1:00 PM	,ESPN+
St. Francis (PA) @ Kent State,1:30 PM	,ESPN+
Utah Tech @ UNLV,2:00 PM		,None
Northern Illinois @ Notre Dame,2:30 PM	,NBC/Peacock
Baylor @ Utah,2:30 PM	,FOX
Iowa State @ Iowa,2:30 PM	,CBS/Paramount+
Jacksonville State @ Louisville,2:30 PM	,ESPN+/ACC Extra
California @ Auburn,2:30 PM	,ESPN2
South Carolina @ Kentucky,2:30 PM	,ABC/ESPN+
Michigan State @ Maryland,2:30 PM	,BTN
Eastern Michigan @ Washington,2:30 PM	,BTN
South Dakota @ Wisconsin,2:30 PM	,FS1
Massachusetts @ Toledo,2:30 PM	,ESPN+
Duquesne @ Boston College,2:30 PM	,ESPN+/ACC Extra
Charlotte @ North Carolina,2:30 PM	,ACC Network
Idaho @ Wyoming,2:30 PM	,truTV/Max
Temple @ Navy,2:30 PM	,CBSSN
UTSA @ Texas State,3:00 PM	,ESPNU
Middle Tennessee @ Ole Miss,3:15 PM	,SEC Network
Marshall @ Virginia Tech,3:30 PM	,The CW Network
Florida A&M @ Miami,5:00 PM	,ESPN+/ACC Extra
UAlbany @ West Virginia,5:00 PM	,ESPN+
Central Michigan @ Florida International,5:00 PM	,ESPN+
Gardner-Webb @ James Madison,5:00 PM	,ESPN+
East Carolina @ Old Dominion,5:00 PM	,ESPN+
South Alabama @ Ohio,5:00 PM	,ESPN+
Sam Houston @ UCF,5:30 PM	,ESPN+
South Florida @ Alabama,6:00 PM	,ESPN
Buffalo @ Missouri,6:00 PM	,ESPN+/SECN+
Kansas @ Illinois,6:00 PM	,FS1
Samford @ Florida,6:00 PM	,ESPN+/SECN+
William & Mary @ Coastal Carolina,6:00 PM	,ESPN+
Eastern Kentucky @ Western Kentucky,6:00 PM	,ESPN+
Chattanooga @ Georgia State,6:00 PM	,ESPN+
Cal Poly @ Stanford,6:00 PM	,ESPN+/ACC Extra
Virginia @ Wake Forest,6:00 PM	,ESPN2
Louisiana @ Kennesaw State,6:00 PM	,ESPN+
San José State @ Air Force,6:00 PM	,CBSSN
Northern Colorado @ Colorado State,6:00 PM		,None
Georgia Southern @ Nevada,6:00 PM	,truTV/Max
Tulsa @ Arkansas State,6:00 PM	,ESPN+
UAB @ UL Monroe,6:00 PM	,ESPN+
SE Louisiana @ Southern Miss,6:00 PM	,ESPN+
Texas Southern @ Rice,6:00 PM	,ESPN+
Western Michigan @ Ohio State,6:30 PM	,BTN
Tennessee @ NC State,6:30 PM	,ABC/ESPN+
Nicholls @ LSU,6:30 PM	,ESPN+/SECN+
Alcorn State @ Vanderbilt,6:30 PM	,ESPNU
Colorado @ Nebraska,6:30 PM	,NBC/Peacock
Stephen F. Austin @ North Texas,6:30 PM	,ESPN+
Houston @ Oklahoma,6:45 PM	,SEC Network
App State @ Clemson,7:00 PM	,ACC Network
Long Island University @ TCU,7:00 PM	,ESPN+
Southern Utah @ UTEP,8:00 PM	,ESPN+
Boise State @ Oregon,9:00 PM	,Peacock
Northern Arizona @ Arizona,9:00 PM	,ESPN+
Texas Tech @ Washington State,9:00 PM	,FOX
Sacramento State @ Fresno State,9:00 PM		,None
Liberty @ New Mexico State,9:15 PM	,ESPN2
Mississippi State @ Arizona State,9:30 PM	,ESPN
Oregon State @ San Diego State,9:30 PM	,CBSSN
