Matchup,Time,TV
"Tuesday, October 31, 2023",,
Northern Illinois @ Central Michigan,"6:00 PM	",ESPNU
Buffalo @ Toledo,"6:30 PM	",ESPN2
"Wednesday, November 1, 2023",,
Ball State @ Bowling Green,"6:00 PM	",ESPN2
Kent State @ Akron,"6:30 PM	",ESPNU
"Thursday, November 2, 2023",,
TCU @ Texas Tech,"6:00 PM	",FS1
Wake Forest @ Duke,"6:30 PM	",ESPN
South Alabama @ Troy,"6:30 PM	",ESPN2
"Friday, November 3, 2023",,
Boston College @ Syracuse,"6:30 PM	",ESPN2
Colorado State @ Wyoming,"7:00 PM	",CBSSN
"Saturday, November 4, 2023",,
Ohio State @ Rutgers,"11:00 AM	",CBS
Kansas State @ Texas,"11:00 AM	",FOX
Texas A&M @ Ole Miss,"11:00 AM	",ESPN
Notre Dame @ Clemson,"11:00 AM	",ABC
UConn @ Tennessee,"11:00 AM	",SECN
Arkansas @ Florida,"11:00 AM	",ESPN2
Wisconsin @ Indiana,"11:00 AM	",BTN
Nebraska @ Michigan State,"11:00 AM	",FS1
Jacksonville State @ South Carolina,"11:00 AM	",ESPNU
Campbell @ North Carolina,"11:00 AM	",ACCN
Kennesaw State @ Sam Houston,"12:00 PM	",ESPN+
Arizona State @ Utah,"1:00 PM	",PAC12
Georgia Tech @ Virginia,"1:00 PM	",CW NETWORK
Navy @ Temple,"1:00 PM	",ESPN+
Army @ Air Force,"1:30 PM	",CBSSN
Florida Atlantic @ UAB,"2:00 PM	",ESPN+
UTSA @ North Texas,"2:00 PM	",ESPN+
South Florida @ Memphis,"2:00 PM	",ESPN+
Louisiana @ Arkansas State,"2:00 PM	",ESPN+
Missouri @ Georgia,"2:30 PM	",CBS
Florida State @ Pittsburgh,"2:30 PM	",ESPN
Penn State @ Maryland,"2:30 PM	",FOX
Oklahoma @ Oklahoma State,"2:30 PM	",ABC
Virginia Tech @ Louisville,"2:30 PM	",ACCN
Tulane @ East Carolina,"2:30 PM	",ESPNU
James Madison @ Georgia State,"2:30 PM	",ESPN2
Illinois @ Minnesota,"2:30 PM	",BTN
Iowa @ Northwestern,"2:30 PM	",Peacock
Merrimack @ Massachusetts,"2:30 PM	",ESPN+
Houston @ Baylor,"2:30 PM	",BIG12|ESPN+
UCF @ Cincinnati,"2:30 PM	",FS1
Coastal Carolina @ Old Dominion,"2:30 PM	",ESPN+
Auburn @ Vanderbilt,"3:00 PM	",SECN
Charlotte @ Tulsa,"3:00 PM	",ESPN+
UL Monroe @ Southern Miss,"3:00 PM	",ESPN+
Hawai'i @ Nevada,"3:00 PM		",No Data
Georgia Southern @ Texas State,"4:00 PM	",ESPN+
California @ Oregon,"4:30 PM	",PAC12
Louisiana Tech @ Liberty,"5:00 PM	",CBSSN
Middle Tennessee @ New Mexico State,"5:00 PM	",ESPN+
Marshall @ Appalachian State,"5:00 PM	",NFL NET
UNLV @ New Mexico,"5:00 PM		",No Data
Kansas @ Iowa State,"6:00 PM	",ESPN
BYU @ West Virginia,"6:00 PM	",FS1
Utah State @ San Diego State,"6:00 PM	",FS2
Purdue @ Michigan,"6:30 PM	",NBC
Washington @ USC,"6:30 PM	",ABC
Kentucky @ Mississippi State,"6:30 PM	",SECN
SMU @ Rice,"6:30 PM	",ESPNU
LSU @ Alabama,"6:45 PM	",CBS
Miami @ NC State,"7:00 PM	",ACCN
Western Kentucky @ UTEP,"8:00 PM	",ESPN+
Stanford @ Washington State,"8:00 PM	",PAC12
Oregon State @ Colorado,"9:00 PM	",ESPN
Boise State @ Fresno State,"9:00 PM	",CBSSN
