Matchup,Time,TV
Rutgers @ Michigan,"11:00 AM	",BTN
Florida State @ Clemson,"11:00 AM	",ABC
Oklahoma @ Cincinnati,"11:00 AM	",FOX
Army @ Syracuse,"11:00 AM	",ACCN
Auburn @ Texas A&M,"11:00 AM	",ESPN
Western Kentucky @ Troy,"11:00 AM	",ESPNU
Kentucky @ Vanderbilt,"11:00 AM	",SECN
Virginia Tech @ Marshall,"11:00 AM	",ESPN2
SMU @ TCU,"11:00 AM	",FS1
Tulsa @ Northern Illinois,"11:00 AM	",CBSSN
Western Michigan @ Toledo,"12:30 PM	",ESPN+
Georgia Southern @ Ball State,"1:00 PM	",ESPN+
Colorado @ Oregon,"2:30 PM	",ABC
UCLA @ Utah,"2:30 PM	",FOX
Ole Miss @ Alabama,"2:30 PM	",CBS
Duke @ UConn,"2:30 PM	",CBSSN
Miami @ Temple,"2:30 PM	",ESPN2
Florida Atlantic @ Illinois,"2:30 PM	",BTN
Maryland @ Michigan State,"2:30 PM	",NBC
Louisiana Tech @ Nebraska,"2:30 PM	",BTN
Boston College @ Louisville,"2:30 PM	",ACCN
BYU @ Kansas,"2:30 PM	",ESPN
Texas Tech @ West Virginia,"2:30 PM	",BIG12|ESPN+
New Mexico @ Massachusetts,"2:30 PM	",ESPN+
Texas A&M-Commerce @ Old Dominion,"2:30 PM	",ESPN+
Ohio @ Bowling Green,"2:30 PM	",ESPN+
Delaware State @ Miami (OH),"2:30 PM	",ESPN+
UTSA @ Tennessee,"3:00 PM	",SECN
Oklahoma State @ Iowa State,"3:00 PM	",FS1
Rice @ South Florida,"3:00 PM	",ESPNU
Eastern Michigan @ Jacksonville State,"4:00 PM	",ESPN+
Central Michigan @ South Alabama,"4:00 PM	",ESPN+
Gardner-Webb @ East Carolina,"5:00 PM	",ESPN+
Liberty @ Florida International,"5:30 PM	",ESPN+
Georgia Tech @ Wake Forest,"5:30 PM	",CW NETWORK
Arkansas @ LSU,"6:00 PM	",ESPN
Oregon State @ Washington State,"6:00 PM	",FOX
Charlotte @ Florida,"6:00 PM	",ESPN+/SECN+
Sam Houston @ Houston,"6:00 PM	",BIG12|ESPN+
Colorado State @ Middle Tennessee,"6:00 PM	",ESPN+
Arizona @ Stanford,"6:00 PM	",PAC12
Nicholls @ Tulane,"6:00 PM	",ESPN+
Appalachian State @ Wyoming,"6:00 PM	",CBSSN
Southern Miss @ Arkansas State,"6:00 PM	",ESPN+
Nevada @ Texas State,"6:00 PM	",ESPN+
UAB @ Georgia,"6:30 PM	",ESPN2
Texas @ Baylor,"6:30 PM	",ABC
Ohio State @ Notre Dame,"6:30 PM	",NBC
Iowa @ Penn State,"6:30 PM	",CBS
Akron @ Indiana,"6:30 PM	",BTN
Memphis @ Missouri,"6:30 PM	",ESPNU
Minnesota @ Northwestern,"6:30 PM	",BTN
Mississippi State @ South Carolina,"6:30 PM	",SECN
Buffalo @ Louisiana,"6:30 PM	",ESPN+
North Carolina @ Pittsburgh,"7:00 PM	",ACCN
UCF @ Kansas State,"7:00 PM	",FS1
James Madison @ Utah State,"7:00 PM		Tickets as low as $15	","Maverik Stadium, Logan, UT//UNLV/  @  //UTEP/8:00 PM	/ESPN+"
USC @ Arizona State,"9:30 PM	",FOX
California @ Washington,"9:30 PM	",ESPN
Kent State @ Fresno State,"9:30 PM	",CBSSN
