Matchup,Time,TV
"Thursday, November 9, 2023",,
Virginia @ Louisville,"6:30 PM	",ESPN
Southern Miss @ Louisiana,"6:30 PM	",ESPNU
"Friday, November 10, 2023",,
North Texas @ SMU,"8:00 PM	",ESPN2
Wyoming @ UNLV,"9:45 PM	",FS1
"Saturday, November 11, 2023",,
Michigan @ Penn State,"11:00 AM	",FOX
Alabama @ Kentucky,"11:00 AM	",ESPN
Texas Tech @ Kansas,"11:00 AM	",FS1
Tulsa @ Tulane,"11:00 AM	",ESPN2
Holy Cross @ Army,"11:00 AM	",CBSSN
Indiana @ Illinois,"11:00 AM	",BTN
Maryland @ Nebraska,"11:00 AM	",Peacock
Vanderbilt @ South Carolina,"11:00 AM	",SECN
Virginia Tech @ Boston College,"11:00 AM	",ACCN
Georgia Tech @ Clemson,"11:00 AM	",ABC
Temple @ South Florida,"11:00 AM	",ESPN+
Old Dominion @ Liberty,"12:00 PM	",ESPN+
Arizona @ Colorado,"1:00 PM	",PAC12
UConn @ James Madison,"1:00 PM	",ESPN+
NC State @ Wake Forest,"1:00 PM	",CW NETWORK
Memphis @ Charlotte,"1:00 PM	",ESPN+
Appalachian State @ Georgia State,"1:00 PM	",ESPN+
Troy @ UL Monroe,"1:00 PM	",ESPN+
Baylor @ Kansas State,"2:00 PM	",BIG12|ESPN+
Sam Houston @ Louisiana Tech,"2:00 PM	",ESPN+
Nevada @ Utah State,"2:00 PM		",No Data
Miami @ Florida State,"2:30 PM	",ABC
Utah @ Washington,"2:30 PM	",FOX
Tennessee @ Missouri,"2:30 PM	",CBS
Oklahoma State @ UCF,"2:30 PM	",ESPN
Rutgers @ Iowa,"2:30 PM	",BTN
Florida International @ Middle Tennessee,"2:30 PM	",ESPN+
Minnesota @ Purdue,"2:30 PM	",NBC
Northwestern @ Wisconsin,"2:30 PM	",FS1
New Mexico State @ Western Kentucky,"2:30 PM	",ESPN+
Pittsburgh @ Syracuse,"2:30 PM	",ACCN
UAB @ Navy,"2:30 PM	",CBSSN
Texas State @ Coastal Carolina,"2:30 PM	",ESPN+
Auburn @ Arkansas,"3:00 PM	",SECN
Washington State @ California,"3:00 PM	",ESPN2
East Carolina @ Florida Atlantic,"3:00 PM	",ESPN+
Arkansas State @ South Alabama,"4:00 PM	",ESPN+
Stanford @ Oregon State,"4:30 PM	",PAC12
Ole Miss @ Georgia,"6:00 PM	",ESPN
West Virginia @ Oklahoma,"6:00 PM	",FOX
Cincinnati @ Houston,"6:00 PM	",FS1
Georgia Southern @ Marshall,"6:00 PM	",NFL NET
San Diego State @ Colorado State,"6:00 PM	",CBSSN
Michigan State @ Ohio State,"6:30 PM	",NBC
Texas @ TCU,"6:30 PM	",ABC
Florida @ LSU,"6:30 PM	",SECN
Mississippi State @ Texas A&M,"6:30 PM	",ESPN2
Rice @ UTSA,"6:30 PM	",ESPNU
Duke @ North Carolina,"7:00 PM	",ACCN
Arizona State @ UCLA,"8:00 PM	",PAC12
New Mexico @ Boise State,"9:00 PM	",FS1
Iowa State @ BYU,"9:15 PM	",ESPN
USC @ Oregon,"9:30 PM	",FOX
Fresno State @ San José State,"9:30 PM	",CBSSN
