Matchup,Time,TV
Army @ Temple,6:30 PM	,ESPN
Virginia Tech @ Miami,6:30 PM	,ESPN
Washington @ Rutgers,7:00 PM	,FOX
Kentucky @ Ole Miss,11:00 AM	,ABC/ESPN+
Minnesota @ Michigan,11:00 AM	,FOX
Oklahoma State @ Kansas State,11:00 AM	,ESPN
BYU @ Baylor,11:00 AM	,FS1
Maryland @ Indiana,11:00 AM	,BTN
Nebraska @ Purdue,11:00 AM	,Peacock
Buffalo @ UConn,11:00 AM	,CBSSN
Western Kentucky @ Boston College,11:00 AM	,ACC Network
Northern Illinois @ NC State,11:00 AM	,The CW Network
Holy Cross @ Syracuse,11:00 AM	,ESPN+/ACC Extra
Navy @ UAB,11:00 AM	,ESPN2
South Florida @ Tulane,11:00 AM	,ESPNU
Ball State @ James Madison,12:30 PM	,ESPN+
Texas State @ Sam Houston,2:00 PM	,ESPN+
Wisconsin @ USC,2:30 PM	,CBS
Louisville @ Notre Dame,2:30 PM	,Peacock
Oklahoma @ Auburn,2:30 PM	,ABC/ESPN+
Arkansas @ Texas A&M,2:30 PM	,ESPN
Massachusetts @ Miami (OH),2:30 PM	,ESPN+
Louisiana @ Wake Forest,2:30 PM	,ACC Network
TCU @ Kansas,2:30 PM	,ESPN+
Colorado @ UCF,2:30 PM	,FOX
Liberty @ App State,2:30 PM	,ESPN+
Fresno State @ UNLV,2:30 PM	,FS1
San Diego State @ Central Michigan,2:30 PM	,CBSSN
Georgia Southern @ Georgia State,2:30 PM	,ESPNU
Western Michigan @ Marshall,2:30 PM	,ESPN+
Akron @ Ohio,2:30 PM	,ESPN+
Eastern Michigan @ Kent State,2:30 PM	,ESPN+
North Carolina @ Duke,3:00 PM	,ESPN2
UTSA @ East Carolina,3:00 PM	,ESPN+
Mississippi State @ Texas,3:15 PM	,SEC Network
Old Dominion @ Bowling Green,4:00 PM	,ESPN+
Louisiana Tech @ Florida International,5:00 PM	,ESPN+
UT Martin @ Kennesaw State,5:00 PM	,ESPN+
Wagner @ Florida Atlantic,5:00 PM	,ESPN+
Ohio State @ Michigan State,6:00 PM	,Peacock
Stanford @ Clemson,6:00 PM	,ESPN
Iowa State @ Houston,6:00 PM	,FS1
UL Monroe @ Troy,6:00 PM	,ESPN+
Charlotte @ Rice,6:00 PM	,ESPN+
Tulsa @ North Texas,6:00 PM	,ESPN+
Georgia @ Alabama,6:30 PM	,ABC/ESPN+
Illinois @ Penn State,6:30 PM	,NBC
Middle Tennessee @ Memphis,6:30 PM	,ESPNU
South Alabama @ LSU,6:45 PM	,SEC Network
Florida State @ SMU,7:00 PM	,ACC Network
Cincinnati @ Texas Tech,7:00 PM	,ESPN2
New Mexico @ New Mexico State,7:00 PM	,ESPN+
Air Force @ Wyoming,7:00 PM	,CBSSN
Washington State @ Boise State,9:00 PM	,FS1
Arizona @ Utah,9:15 PM	,ESPN
