Matchup,Time,TV
Ole Miss @ Mississippi State,6:30 PM	,ESPN
TCU @ Oklahoma,11:00 AM	,FOX
Iowa @ Nebraska,11:00 AM	,CBS
Miami @ Boston College,11:00 AM	,ABC
Memphis @ Temple,11:00 AM	,ESPN
Toledo @ Central Michigan,11:00 AM	,ESPNU
Ohio @ Akron,11:00 AM	,CBSSN
UTSA @ Tulane,2:30 PM	,ABC
Utah State @ New Mexico,2:30 PM	,CBSSN
Missouri @ Arkansas,3:00 PM	,CBS
Air Force @ Boise State,3:00 PM	,FS1
Texas Tech @ Texas,6:30 PM	,ABC
Penn State @ Michigan State,6:30 PM	,NBC
Oregon State @ Oregon,7:30 PM	,FOX
Ohio State @ Michigan,11:00 AM	,FOX
Kentucky @ Louisville,11:00 AM	,ABC
Texas A&M @ LSU,11:00 AM	,ESPN
Indiana @ Purdue,11:00 AM	,BTN
Middle Tennessee @ Sam Houston,11:00 AM	,ESPN+
UConn @ Massachusetts,11:00 AM	,ESPN+
Pittsburgh @ Duke,11:00 AM	,ACCN
Houston @ UCF,11:00 AM	,FS1
Navy @ SMU,11:00 AM	,ESPN2
Troy @ Southern Miss,11:00 AM	,ESPNU
Northern Illinois @ Kent State,11:00 AM	,ESPN+
Miami (OH) @ Ball State,11:00 AM	,CBSSN
Florida Atlantic @ Rice,12:00 PM	,ESPN+
Wake Forest @ Syracuse,1:00 PM	,CW NETWORK
Tulsa @ East Carolina,1:00 PM	,ESPN+
UAB @ North Texas,1:00 PM	,ESPN+
Georgia State @ Old Dominion,1:00 PM	,ESPN+
Western Kentucky @ Florida International,2:00 PM	,ESPN+
Colorado @ Utah,2:00 PM	,PAC12
UL Monroe @ Louisiana,2:00 PM	,ESPN+
San José State @ UNLV,2:00 PM		,No Data
Alabama @ Auburn,2:30 PM	,CBS
Arizona @ Arizona State,2:30 PM	,ESPN
BYU @ Oklahoma State,2:30 PM	,ABC
Vanderbilt @ Tennessee,2:30 PM	,SECN
Liberty @ UTEP,2:30 PM	,CBSSN
Northwestern @ Illinois,2:30 PM	,BTN
Wisconsin @ Minnesota,2:30 PM	,FS1
Maryland @ Rutgers,2:30 PM	,BTN
Virginia Tech @ Virginia,2:30 PM	,ACCN
Georgia Southern @ Appalachian State,2:30 PM	,ESPNU
James Madison @ Coastal Carolina,2:30 PM	,ESPN2
Arkansas State @ Marshall,2:30 PM	,ESPN+
Washington State @ Washington,3:00 PM	,FOX
Jacksonville State @ New Mexico State,3:00 PM	,ESPN+
Florida State @ Florida,6:00 PM	,ESPN
Notre Dame @ Stanford,6:00 PM	,PAC12
West Virginia @ Baylor,6:00 PM	,FS1
South Alabama @ Texas State,6:00 PM	,NFL NET
Georgia @ Georgia Tech,6:30 PM	,ABC
Clemson @ South Carolina,6:30 PM	,SECN
Kansas @ Cincinnati,6:30 PM	,ESPN2
Charlotte @ South Florida,6:30 PM	,ESPNU
Iowa State @ Kansas State,7:00 PM	,FOX
North Carolina @ NC State,7:00 PM	,ACCN
Wyoming @ Nevada,8:00 PM	,CBSSN
California @ UCLA,9:30 PM	,ESPN
Fresno State @ San Diego State,9:30 PM	,FS1
