Matchup,Time,TV
Jacksonville State @ Middle Tennessee,7:00 PM	,ESPNU
Florida International @ New Mexico State,8:00 PM	,CBSSN
Sam Houston @ Liberty,6:00 PM	,CBSSN
Western Kentucky @ Louisiana Tech,7:00 PM	,ESPNU
Kansas State @ Oklahoma State,6:30 PM	,ESPN
Nebraska @ Illinois,7:00 PM	,FS1
Oklahoma @ Texas,11:00 AM	,ABC
Maryland @ Ohio State,11:00 AM	,FOX
LSU @ Missouri,11:00 AM	,ESPN
Boston College @ Army,11:00 AM	,CBSSN
Western Michigan @ Mississippi State,11:00 AM	,SECN
Rutgers @ Wisconsin,11:00 AM	,Peacock
William & Mary @ Virginia,11:00 AM	,ACCN
Toledo @ Massachusetts,11:00 AM	,ESPNU
Marshall @ NC State,1:00 PM	,CW NETWORK
UTSA @ Temple,1:00 PM	,ESPN+
Central Michigan @ Buffalo,1:00 PM	,ESPN+
Washington State @ UCLA,2:00 PM	,PAC12
Howard @ Northwestern,2:00 PM	,BTN
Virginia Tech @ Florida State,2:30 PM	,ABC
Alabama @ Texas A&M,2:30 PM	,CBS
Syracuse @ North Carolina,2:30 PM	,ESPN
Purdue @ Iowa,2:30 PM	,Peacock
Wake Forest @ Clemson,2:30 PM	,ACCN
North Texas @ Navy,2:30 PM	,CBSSN
Texas State @ Louisiana,2:30 PM	,ESPNU
Ball State @ Eastern Michigan,2:30 PM	,ESPN+
Bowling Green @ Miami (OH),2:30 PM	,ESPN+
Kent State @ Ohio,2:30 PM	,ESPN+
Northern Illinois @ Akron,2:30 PM	,ESPN+
Vanderbilt @ Florida,3:00 PM	,SECN
UCF @ Kansas,3:00 PM	,FOX
South Florida @ UAB,3:00 PM	,ESPN2
Arkansas State @ Troy,3:00 PM	,ESPN+
UConn @ Rice,4:00 PM	,ESPN+
Tulsa @ Florida Atlantic,5:00 PM	,ESPN+
Colorado @ Arizona State,5:30 PM	,PAC12
Kentucky @ Georgia,6:00 PM	,ESPN
South Alabama @ UL Monroe,6:00 PM	,ESPN+
Old Dominion @ Southern Miss,6:00 PM	,ESPN+
Michigan @ Minnesota,6:30 PM	,NBC/Peacock
Notre Dame @ Louisville,6:30 PM	,ABC
Arkansas @ Ole Miss,6:30 PM	,SECN
Georgia Tech @ Miami,7:00 PM	,ACCN
Fresno State @ Wyoming,7:00 PM	,FOX
Texas Tech @ Baylor,7:00 PM	,ESPN2
TCU @ Iowa State,7:00 PM	,FS2
Colorado State @ Utah State,7:00 PM		,NONE
San José State @ Boise State,7:00 PM	,CBSSN
Oregon State @ California,9:00 PM	,PAC12
Arizona @ USC,9:30 PM	,ESPN
