Matchup,Time,TV
SMU @ Temple,6:00 PM	,ESPN
Penn State @ Ohio State,11:00 AM	,FOX
UCF @ Oklahoma,11:00 AM	,ABC
Air Force @ Navy,11:00 AM	,CBS
Mississippi State @ Arkansas,11:00 AM	,ESPN
Rutgers @ Indiana,11:00 AM	,BTN
Boston College @ Georgia Tech,11:00 AM	,ACCN
Baylor @ Cincinnati,11:00 AM	,BIG12|ESPN+
Memphis @ UAB,11:00 AM	,ESPN2
Western Michigan @ Ohio,11:00 AM	,CBSSN
Charlotte @ East Carolina,1:00 PM	,ESPN+
UL Monroe @ Georgia Southern,1:00 PM	,ESPN+
Akron @ Bowling Green,1:00 PM	,ESPN+
Washington State @ Oregon,2:30 PM	,ABC
Tennessee @ Alabama,2:30 PM	,CBS
South Carolina @ Missouri,2:30 PM	,SECN
North Texas @ Tulane,2:30 PM	,ESPN2
Minnesota @ Iowa,2:30 PM	,NBC
Wisconsin @ Illinois,2:30 PM	,FS1
Northwestern @ Nebraska,2:30 PM	,BTN
South Florida @ UConn,2:30 PM	,CBSSN
Pittsburgh @ Wake Forest,2:30 PM	,ACCN
Oklahoma State @ West Virginia,2:30 PM	,ESPN
Central Michigan @ Ball State,2:30 PM	,ESPN+
Eastern Michigan @ Northern Illinois,2:30 PM	,ESPN+
Buffalo @ Kent State,2:30 PM	,ESPN+
Texas @ Houston,3:00 PM	,FOX
Toledo @ Miami (OH),3:00 PM	,ESPNU
UTSA @ Florida Atlantic,5:00 PM	,ESPN+
Hawai'i @ New Mexico,5:00 PM,No Data		
Virginia @ North Carolina,5:30 PM	,CW NETWORK
Ole Miss @ Auburn,6:00 PM	,ESPN
Texas Tech @ BYU,6:00 PM	,FS1
TCU @ Kansas State,6:00 PM	,ESPN2
Appalachian State @ Old Dominion,6:00 PM	,NFL NET
Coastal Carolina @ Arkansas State,6:00 PM	,ESPN+
Colorado State @ UNLV,6:00 PM		,No Data
Utah State @ San José State,6:00 PM	,CBSSN
Michigan @ Michigan State,6:30 PM	,NBC
Duke @ Florida State,6:30 PM	,ABC
Army @ LSU,6:30 PM	,SECN
Utah @ USC,7:00 PM	,FOX
Clemson @ Miami,7:00 PM	,ACCN
Georgia State @ Louisiana,7:00 PM	,ESPNU
Nevada @ San Diego State,8:00 PM	,FS2
Arizona State @ Washington,9:30 PM	,FS1
