Matchup,Time,TV
Texas State @ Troy,6:00 PM	,ESPNU
Sam Houston @ UTEP,8:00 PM	,CBSSN
Jacksonville State @ Kennesaw State,6:00 PM	,CBSSN
Houston @ TCU,6:30 PM	,ESPN
Michigan State @ Oregon,8:00 PM	,FOX
Syracuse @ UNLV,8:00 PM	,FS1
UCLA @ Penn State,11:00 AM	,FOX
Missouri @ Texas A&M,11:00 AM	,ABC/ESPN+
SMU @ Louisville,11:00 AM	,ESPN
Purdue @ Wisconsin,11:00 AM	,BTN
Massachusetts @ Northern Illinois,11:00 AM	,CBSSN
Boston College @ Virginia,11:00 AM	,ACC Network
Pittsburgh @ North Carolina,11:00 AM	,ESPN2
Wake Forest @ NC State,11:00 AM	,The CW Network
Navy @ Air Force,11:00 AM	,CBS
Army @ Tulsa,11:00 AM	,ESPNU
Tulane @ UAB,12:00 PM	,ESPN+
Western Michigan @ Ball State,1:00 PM	,ESPN+
Iowa @ Ohio State,2:30 PM	,CBS
Auburn @ Georgia,2:30 PM	,ABC/ESPN+
Ole Miss @ South Carolina,2:30 PM	,ESPN
Indiana @ Northwestern,2:30 PM	,BTN
Temple @ UConn,2:30 PM	,CBSSN
Virginia Tech @ Stanford,2:30 PM	,ACC Network
App State @ Marshall,2:30 PM	,ESPN+
Miami (OH) @ Toledo,2:30 PM	,ESPN+
Bowling Green @ Akron,2:30 PM	,ESPN+
East Carolina @ Charlotte,2:30 PM	,ESPNU
Rutgers @ Nebraska,3:00 PM	,FS1
West Virginia @ Oklahoma State,3:00 PM	,ESPN2
Alabama @ Vanderbilt,3:15 PM	,SEC Network
Colorado State @ Oregon State,5:30 PM	,The CW Network
Clemson @ Florida State,6:00 PM	,ESPN
Utah State @ Boise State,6:00 PM	,FS2
Old Dominion @ Coastal Carolina,6:00 PM	,ESPN+
South Alabama @ Arkansas State,6:00 PM	,ESPN+
James Madison @ UL Monroe,6:00 PM	,ESPNU
Louisiana @ Southern Miss,6:00 PM	,ESPN+
Tennessee @ Arkansas,6:30 PM	,ABC
Michigan @ Washington,6:30 PM	,NBC
USC @ Minnesota,6:30 PM	,BTN
Baylor @ Iowa State,6:30 PM	,FOX
Nevada @ San José State,6:30 PM	,truTV
UCF @ Florida,6:45 PM	,SEC Network
Duke @ Georgia Tech,7:00 PM	,ACC Network
Kansas @ Arizona State,7:00 PM	,ESPN2
Hawai'i @ San Diego State,7:00 PM	,CBSSN
Miami @ California,9:30 PM	,ESPN
