Matchup,Time,TV
Toledo @ Bowling Green,6:00 PM	,ESPN2
Western Michigan @ Northern Illinois,6:00 PM	,ESPNU
Akron @ Eastern Michigan,6:00 PM	,CBSSN
Central Michigan @ Ohio,6:00 PM	,ESPNU
Buffalo @ Miami (OH),6:00 PM	,ESPN2
Boston College @ Pittsburgh,6:00 PM	,ESPN
South Florida @ UTSA,8:00 PM	,ESPN2
Colorado @ Washington State,9:30 PM	,FS1
Michigan @ Maryland,11:00 AM	,FOX
Chattanooga @ Alabama,11:00 AM	,ESPN+/SECN+
UL Monroe @ Ole Miss,11:00 AM	,SECN
Rutgers @ Penn State,11:00 AM	,FS1
Louisville @ Miami,11:00 AM	,ABC
Oklahoma @ BYU,11:00 AM	,ESPN
Tulane @ Florida Atlantic,11:00 AM	,ESPN+
Coastal Carolina @ Army,11:00 AM	,CBSSN
Michigan State @ Indiana,11:00 AM	,BTN
Southern Miss @ Mississippi State,11:00 AM	,ESPN+SECN+
Purdue @ Northwestern,11:00 AM	,BTN
Abilene Christian @ Texas A&M,11:00 AM	,ESPN+SECN+
Sacred Heart @ UConn,11:00 AM		,No Data
East Carolina @ Navy,11:00 AM	,ESPNNESPN+
SMU @ Memphis,11:00 AM	,ESPN2
Massachusetts @ Liberty,12:00 PM	,ESPN+
Louisiana Tech @ Jacksonville State,1:00 PM	,ESPN+
UTEP @ Middle Tennessee,1:00 PM	,ESPN+
Rice @ Charlotte,1:00 PM	,ESPN+
Appalachian State @ James Madison,1:00 PM	,ESPN+
Kent State @ Ball State,1:00 PM	,ESPN+
Hawai'i @ Wyoming,1:00 PM		,No Data
Utah @ Arizona,1:30 PM	,PAC12
Cincinnati @ West Virginia,1:30 PM	,BIG12|ESPN+
Duke @ Virginia,2:00 PM	,CW NETWORK
North Texas @ Tulsa,2:00 PM	,ESPN+
Temple @ UAB,2:00 PM	,ESPN+
Texas State @ Arkansas State,2:00 PM	,ESPN+
Nevada @ Colorado State,2:00 PM		,No Data
Georgia @ Tennessee,2:30 PM	,CBS
Wake Forest @ Notre Dame,2:30 PM	,NBC
Illinois @ Iowa,2:30 PM	,FS1
North Carolina @ Clemson,2:30 PM	,ESPN
Sam Houston @ Western Kentucky,2:30 PM	,ESPN+
UCLA @ USC,2:30 PM	,ABC
NC State @ Virginia Tech,2:30 PM	,ACCN
Baylor @ TCU,2:30 PM	,BIG12|ESPN+
Louisiana @ Troy,2:30 PM	,NFL NET
UNLV @ Air Force,2:30 PM	,CBSSN
Minnesota @ Ohio State,3:00 PM	,BTN
Oregon @ Arizona State,3:00 PM	,FOX
Oklahoma State @ Houston,3:00 PM	,ESPN2
New Mexico State @ Auburn,3:00 PM	,SECN
UCF @ Texas Tech,4:00 PM	,FS2
Marshall @ South Alabama,4:00 PM	,ESPN+
Old Dominion @ Georgia Southern,5:00 PM	,ESPN+
North Alabama @ Florida State,5:30 PM	,CW NETWORK
California @ Stanford,5:30 PM	,PAC12
Kansas State @ Kansas,6:00 PM	,FS1
Boise State @ Utah State,6:00 PM	,CBSSN
Washington @ Oregon State,6:30 PM	,ABC
Florida @ Missouri,6:30 PM	,ESPN
Florida International @ Arkansas,6:30 PM	,ESPNU
Kentucky @ South Carolina,6:30 PM	,SECN
Nebraska @ Wisconsin,6:30 PM	,NBC
Texas @ Iowa State,7:00 PM	,FOX
Georgia State @ LSU,7:00 PM	,ESPN2
Syracuse @ Georgia Tech,7:00 PM	,ACCN
New Mexico @ Fresno State,9:30 PM	,FS1
