Matchup,Time,TV
"Tuesday, October 10, 2023",,
Louisiana Tech @ Middle Tennessee,"6:00 PM	",CBSSN
Liberty @ Jacksonville State,"6:30 PM	",ESPNU
Coastal Carolina @ Appalachian State,"6:30 PM	",ESPN2
"Wednesday, October 11, 2023",,
UTEP @ Florida International,"6:30 PM	",ESPN2
Sam Houston @ New Mexico State,"8:00 PM	",CBSSN
"Thursday, October 12, 2023",,
West Virginia @ Houston,"6:00 PM	",FS1
SMU @ East Carolina,"6:30 PM	",ESPN
"Friday, October 13, 2023",,
Tulane @ Memphis,"6:00 PM	",ESPN
Fresno State @ Utah State,"7:00 PM	",CBSSN
Stanford @ Colorado,"9:00 PM	",ESPN
"Saturday, October 14, 2023",,
Georgia @ Vanderbilt,"11:00 AM	",CBS
Indiana @ Michigan,"11:00 AM	",FOX
Ohio State @ Purdue,"11:00 AM	",Peacock
Syracuse @ Florida State,"11:00 AM	",ABC
Arkansas @ Alabama,"11:00 AM	",ESPN
Michigan State @ Rutgers,"11:00 AM	",BTN
Iowa State @ Cincinnati,"11:00 AM	",FS1
Temple @ North Texas,"11:00 AM	",ESPNU
Georgia Southern @ James Madison,"11:00 AM	",ESPN2
Kent State @ Eastern Michigan,"11:00 AM	",CBSSN
Navy @ Charlotte,"1:00 PM	",ESPN+
Toledo @ Ball State,"1:00 PM	",ESPN+
California @ Utah,"2:00 PM	",PAC12
Massachusetts @ Penn State,"2:30 PM	",BTN
Oregon @ Washington,"2:30 PM	",ABC
Texas A&M @ Tennessee,"2:30 PM	",CBS
Kansas @ Oklahoma State,"2:30 PM	",FS1
Troy @ Army,"2:30 PM	",CBSSN
Illinois @ Maryland,"2:30 PM	",NBC
Florida @ South Carolina,"2:30 PM	",SECN
Wake Forest @ Virginia Tech,"2:30 PM	",ACCN
BYU @ TCU,"2:30 PM	",ESPN
Florida Atlantic @ South Florida,"2:30 PM	",ESPN2
Akron @ Central Michigan,"2:30 PM	",ESPN+
Bowling Green @ Buffalo,"2:30 PM	",ESPN+
Miami (OH) @ Western Michigan,"2:30 PM	",ESPN+
Iowa @ Wisconsin,"3:00 PM	",FOX
Ohio @ Northern Illinois,"3:00 PM	",ESPNU
UNLV @ Nevada,"4:00 PM		",None
San José State @ New Mexico,"5:00 PM		",None
Louisville @ Pittsburgh,"5:30 PM	",CW NETWORK
Arizona @ Washington State,"6:00 PM	",PAC12
Auburn @ LSU,"6:00 PM	",ESPN
Kansas State @ Texas Tech,"6:00 PM	",FS1
Marshall @ Georgia State,"6:00 PM	",ESPN2
UL Monroe @ Texas State,"6:00 PM	",ESPN+
Wyoming @ Air Force,"6:00 PM	",CBSSN
USC @ Notre Dame,"6:30 PM	",NBC/Peacock
Miami @ North Carolina,"6:30 PM	",ABC
Missouri @ Kentucky,"6:30 PM	",SECN
UCLA @ Oregon State,"7:00 PM	",FOX
NC State @ Duke,"7:00 PM	",ACCN
UAB @ UTSA,"7:00 PM	",ESPNU
Boise State @ Colorado State,"8:45 PM	",FS1
