Matchup,Time,TV
"Thursday, September 12, 2024",,
Arizona State @ Texas State,"6:30 PM	",ESPN
Northwestern State @ South Alabama,"6:30 PM	",ESPN+
"Friday, September 13, 2024",,
UNLV @ Kansas,"6:00 PM	",ESPN
Arizona @ Kansas State,"7:00 PM	",FOX
"Saturday, September 14, 2024",,
Alabama @ Wisconsin,"11:00 AM	",FOX
Arkansas State @ Michigan,"11:00 AM	",BTN
Oklahoma State @ Tulsa,"11:00 AM	",ESPN2
LSU @ South Carolina,"11:00 AM	",ABC/ESPN+
Louisiana Tech @ NC State,"11:00 AM	",ACC Network
Central Michigan @ Illinois,"11:00 AM	",Peacock
Memphis @ Florida State,"11:00 AM	",ESPN
Cincinnati @ Miami (OH),"11:00 AM	",ESPNU
North Texas @ Texas Tech,"11:00 AM	",FS1
Boston College @ Missouri,"11:45 AM	",SEC Network
Massachusetts @ Buffalo,"12:00 PM	",CBSSN
Coastal Carolina @ Temple,"1:00 PM	",ESPN+
Notre Dame @ Purdue,"2:30 PM	",CBS/Paramount+
Oregon @ Oregon State,"2:30 PM	",FOX
Ball State @ Miami,"2:30 PM	",ACC Network
Tulane @ Oklahoma,"2:30 PM	",ESPN
VMI @ Georgia Tech,"2:30 PM	",ESPN+/ACC Extra
Texas A&M @ Florida,"2:30 PM	",ABC/ESPN+
Prairie View A&M @ Michigan State,"2:30 PM	",BTN
Nevada @ Minnesota,"2:30 PM	",BTN
Washington State @ Washington,"2:30 PM	",Peacock
West Virginia @ Pittsburgh,"2:30 PM	",ESPN2
Morgan State @ Ohio,"2:30 PM	",ESPN+
Troy @ Iowa,"3:00 PM	",FS1
App State @ East Carolina,"3:00 PM	",ESPNU
UAB @ Arkansas,"3:15 PM	",SEC Network
Utah @ Utah State,"3:30 PM	",CBSSN
UConn @ Duke,"5:00 PM	",ESPN+/ACC Extra
North Carolina Central @ North Carolina,"5:00 PM	",ESPN+/ACC Extra
Virginia Tech @ Old Dominion,"5:00 PM	",ESPN+
Florida International @ Florida Atlantic,"5:00 PM	",ESPN+
UTEP @ Liberty,"5:00 PM	",ESPN+
South Carolina State @ Georgia Southern,"5:00 PM	",ESPN+
Colgate @ Akron,"5:00 PM	",ESPN+
Gardner-Webb @ Charlotte,"5:00 PM	",ESPN+
Ole Miss @ Wake Forest,"5:30 PM	",The CW Network
Bethune-Cookman @ Western Michigan,"5:30 PM	",ESPN+
UTSA @ Texas,"6:00 PM	",ESPN
Vanderbilt @ Georgia State,"6:00 PM	",ESPN+
Jacksonville State @ Eastern Michigan,"6:00 PM	",ESPN+
Kennesaw State @ San José State,"6:00 PM	",truTV/Max
Western Kentucky @ Middle Tennessee,"6:00 PM	",ESPN+
Hawai'i @ Sam Houston,"6:00 PM	",ESPN+
South Florida @ Southern Miss,"6:00 PM	",ESPN+
Georgia @ Kentucky,"6:30 PM	",ABC/ESPN+
New Mexico @ Auburn,"6:30 PM	",ESPN2
Toledo @ Mississippi State,"6:30 PM	",ESPNU
Indiana @ UCLA,"6:30 PM	",NBC/Peacock
Northern Iowa @ Nebraska,"6:30 PM	",BTN
Air Force @ Baylor,"6:30 PM	",FS1
Colorado @ Colorado State,"6:30 PM	",CBS
UCF @ TCU,"6:30 PM	",FOX
Eastern Illinois @ Northwestern,"6:30 PM	",BTN
Kent State @ Tennessee,"6:45 PM	",SEC Network
Maryland @ Virginia,"7:00 PM	",ACC Network
Rice @ Houston,"7:00 PM	",ESPN+
BYU @ Wyoming,"8:00 PM	",CBSSN
San Diego State @ California,"9:30 PM	",ESPN
