Matchup,Time,TV
"Saturday, August 31, 2024",,
Clemson @ Georgia,"11:00 AM	",ABC/ESPN+
Penn State @ West Virginia,"11:00 AM	",FOX
Illinois State @ Iowa,"11:00 AM	",BTN
Virginia Tech @ Vanderbilt,"11:00 AM	",ESPN
UConn @ Maryland,"11:00 AM	",FS1
Austin Peay @ Louisville,"11:00 AM	",ACC Network
Indiana State @ Purdue,"11:00 AM	",BTN
Kent State @ Pittsburgh,"11:00 AM	",ESPNU
Bucknell @ Navy,"11:00 AM	",CBSSN
Chattanooga @ Tennessee,"11:45 AM	",SEC Network
South Dakota State @ Oklahoma State,"1:00 PM	",ESPN+
Towson @ Cincinnati,"1:30 PM	",ESPN+
Portland State @ Washington State,"2:00 PM	",The CW Network
Akron @ Ohio State,"2:30 PM	",CBS/Paramount+
Colorado State @ Texas,"2:30 PM	",ESPN
Miami @ Florida,"2:30 PM	",ABC/ESPN+
Florida International @ Indiana,"2:30 PM	",BTN
UTEP @ Nebraska,"2:30 PM	",FOX
Eastern Michigan @ Massachusetts,"2:30 PM	",ESPN+
East Tennessee State @ App State,"2:30 PM	",ESPN+
North Dakota @ Iowa State,"2:30 PM	",FS1
Ohio @ Syracuse,"2:30 PM	",ACC Network
Kennesaw State @ UTSA,"2:30 PM	",ESPN+
Merrimack @ Air Force,"2:30 PM	",CBSSN
Miami (OH) @ Northwestern,"2:30 PM	",BTN
Western Illinois @ Northern Illinois,"2:30 PM	",ESPN+
Boise State @ Georgia Southern,"3:00 PM	",ESPNU
Old Dominion @ South Carolina,"3:15 PM	",SEC Network
Stony Brook @ Marshall,"4:00 PM	",ESPN+
UC Davis @ California,"4:00 PM	",ESPN+/ACC Extra
North Texas @ South Alabama,"4:00 PM	",ESPN+
Eastern Kentucky @ Mississippi State,"5:00 PM	",ESPN+/SECN+
Campbell @ Liberty,"5:00 PM	",ESPN+
Richmond @ Virginia,"5:00 PM	",ESPN+/ACC Extra
Norfolk State @ East Carolina,"5:00 PM	",ESPN+
Idaho State @ Oregon State,"5:30 PM	",The CW Network
Western Kentucky @ Alabama,"6:00 PM	",ESPN
Furman @ Ole Miss,"6:00 PM	",ESPN+/SECN+
UT Martin @ Kansas State,"6:00 PM	",ESPN+
Central Arkansas @ Arkansas State,"6:00 PM	",ESPN+
Bethune-Cookman @ South Florida,"6:00 PM	",ESPN+
Tarleton State @ Baylor,"6:00 PM	",ESPN+
UNLV @ Houston,"6:00 PM	",FS1
Tennessee Tech @ Middle Tennessee,"6:00 PM	",ESPN+
Sam Houston @ Rice,"6:00 PM	",ESPN+
Nevada @ Troy,"6:00 PM	",ESPN+
North Alabama @ Memphis,"6:00 PM	",ESPN+
Idaho @ Oregon,"6:30 PM	",BTN
Notre Dame @ Texas A&M,"6:30 PM	",ABC/ESPN+
Fresno State @ Michigan,"6:30 PM	",NBC/Peacock
Alabama A&M @ Auburn,"6:30 PM	",ESPN+/SECN+
UCLA @ Hawai'i,"6:30 PM	",CBS/Paramount+
Abilene Christian @ Texas Tech,"6:30 PM	",ESPN+
Southern Miss @ Kentucky,"6:45 PM	",SEC Network
Southern Illinois @ BYU,"7:00 PM	",ESPN+
Georgia State @ Georgia Tech,"7:00 PM	",ACC Network
Houston Christian @ SMU,"7:00 PM	",ESPN+/ACC Extra
Grambling @ Louisiana,"7:00 PM	",ESPN+
Nicholls @ Louisiana Tech,"7:00 PM	",ESPN+
Texas A&M-Commerce @ San Diego State,"7:00 PM	",truTV/Max
Robert Morris @ Utah State,7:00 PM,None
James Madison @ Charlotte,"7:00 PM	",ESPNU
Lamar @ Texas State,"7:00 PM	",ESPN+
Southeast Missouri State @ New Mexico State,"8:00 PM	",ESPN+
New Mexico @ Arizona,"9:30 PM	",ESPN
Wyoming @ Arizona State,"9:30 PM	",FS1
Weber State @ Washington,"10:00 PM	",BTN
"Sunday, September 1, 2024",,
USC @ LSU,"6:30 PM	",ABC/ESPN+
"Monday, September 2, 2024",,
Boston College @ Florida State,"6:30 PM	",ESPN
