Defense,Offense,Text
Ball State,Toledo,"Phillip Ely pass complete to Marc Remy for 4 yds to the BalSt 29 TOLEDO Penalty, illegal block ( Yards) declined"
Northern Illinois,Ball State,"NORTHERNIL Penalty, Defensive holding ( Yards) declined"
Georgia State,Ball State,"Riley Neal pass complete to Jordan Williams for 11 yds to the BalSt 43 for a 1ST down GEORGIA ST Penalty, offside defense ( Yards) declined for a 1ST down"
Central Michigan,Ball State,"James Gilbert run for 18 yds to the BALLST 38 for a 1ST down CENTRAL MICH Penalty, offside defense ( Yards) declined for a 1ST down"
Ball State,Central Michigan,"Cooper Rush pass incomplete to Anthony Rice, broken up by Sean Wiggins CENTRAL MICH Penalty, Offensive holding ( Yards) declined"
Ball State,UMass,"Jamal Wilson run for 8 yds to the BALLST 49 for a 1ST down BALL ST Penalty,  ( Yards) declined for a 1ST down"
Ball State,Bowling Green,"Matt Domer run for 95 yds for a TD, (Tyler Tate KICK) BALL ST Penalty, roughing the kicker ( Yards) declined"
Ball State,Georgia State,"Conner Manning pass incomplete to Todd Boyd GEORGIA ST Penalty, ineligible downfield on pass ( Yards) declined"
Ball State,Indiana,"Richard Lagow pass incomplete to Nick Westbrook INDIANA Penalty, ineligible downfield on pass ( Yards) declined"
Eastern Kentucky,Ball State,"Riley Neal pass complete to Damon Hazelton Jr. for 6 yds to the BalSt 40 for a 1ST down EASTRN KENTUCKY Penalty, offside defense ( Yards) declined for a 1ST down"
Ball State,Northern Illinois,"Christian Hagan 43 yd FG MISSED NORTHERNIL Penalty, illegal formation ( Yards) declined"
Ball State,Central Michigan,"Cooper Rush run for 2 yds to the CMich 37 CENTRAL MICH Penalty, Offensive holding ( Yards) declined"
Ball State,Central Michigan,"Devon Spalding run for 6 yds to the CMich 26 CENTRAL MICH Penalty, illegal block ( Yards) declined"
Ball State,Western Michigan,"Zach Terrell pass complete to Michael Henry for 16 yds to the BALLST 34 for a 1ST down BALL ST Penalty, 12 Men on the Field ( Yards) declined for a 1ST down"
Ball State,Illinois,"Mike Epstein run for 1 yd for a TD BALL ST Penalty, offside defense ( Yards) declined, (C. Crouch Run For Two-point Conversion)"
Ball State,UAB,"A.J. Erdely pass incomplete to Lucious Stanley UAB Penalty, illegal formation ( Yards) declined"
Ball State,UAB,"Spencer Brown run for 37 yds to the BALLST 27 for a 1ST down BALL ST Penalty, offside defense ( Yards) declined for a 1ST down"
Ball State,Tennessee Tech,"Luke Ward pass intercepted Josh Miller return for no gain to the 50 yard line TENNESSEE TECH Penalty, IF ( Yards) declined"
Tennessee Tech,Ball State,"Riley Neal pass intercepted Clay Davis return for 15 yds to the BALLST 47 TENNESSEE TECH Penalty, illegal formation (15 Yards) declined"
Western Michigan,Ball State,"Caleb Huntley run for no gain to the BalSt 1 BALL ST Penalty, Offensive holding ( Yards) declined"
Ball State,Buffalo,"Theo Anderson run for 13 yds to the BalSt 11 for a 1ST down BALL ST Penalty,  ( Yards) declined for a 1ST down"
Miami (OH),Ball State,"Drew Plitt run for 13 yds to the MiaOh 1 for a 1ST down MIAMI OH Penalty, Defensive holding ( Yards) declined for a 1ST down"
Ball State,Central Connecticut,"D Guillaume run for a loss of 2 yards to the CConn 32 CENTRAL CONN Penalty, Offensive holding ( Yards) declined"
Ball State,Central Connecticut,"D Exhilhomme run for 7 yds to the CConn 25 CENTRAL CONN Penalty, Offensive holding ( Yards) declined"
Notre Dame,Ball State,"Malik Dunner run for a loss of 1 yard to the BalSt 44 BALL ST Penalty, IF ( Yards) declined"
Ball State,Notre Dame,"Brandon Wimbush pass complete to Miles Boykin for 20 yds to the NDame 48 for a 1ST down BALL ST Penalty, Defensive pass interference ( Yards) declined for a 1ST down"
Western Kentucky,Ball State,"Riley Neal pass incomplete, broken up by Ta'Corian Darden BALL ST Penalty, Offensive holding ( Yards) declined"
Western Kentucky,Ball State,"Riley Neal pass incomplete BALL ST Penalty, Offensive holding ( Yards) declined"
Western Kentucky,Ball State,"Riley Neal pass incomplete to Riley Miller, broken up by Drell Greene BALL ST Penalty, Offensive holding ( Yards) declined"
Ball State,Kent State,"Woody Barrett pass complete to Trey Harrell for 21 yds to the BalSt 17 for a 1ST down BALL ST Penalty, Defensive holding ( Yards) declined for a 1ST down"
Ball State,Kent State,"Woody Barrett pass incomplete to Justin Rankin KENT ST Penalty, Defensive pass interference ( Yards) declined"
Northern Illinois,Ball State,"Riley Neal punt for 41 yds, downed at the BALLST 9 NORTHERNIL Penalty,  ( Yards) declined"
Ball State,Northern Illinois,"Marcus Childers pass incomplete NORTHERNIL Penalty, Offensive holding ( Yards) declined"
Northern Illinois,Ball State,"Riley Neal pass complete to Riley Miller for 18 yds to the BalSt 49 for a 1ST down NORTHERNIL Penalty, offside defense ( Yards) declined for a 1ST down"
Central Michigan,Ball State,"Riley Neal pass complete to Riley Miller for 6 yds for a TD CENTRAL MICH Penalty, Defensive offside ( Yards) declined (Morgan Hagee KICK)"
Eastern Michigan,Ball State,"Riley Neal pass complete to Nolan Givan for a loss of 1 yard to the BalSt 27 BALL ST Penalty, Offensive holding ( Yards) declined"
Ball State,Eastern Michigan,"Tyler Wiegers pass incomplete to Isaac Holder EASTRN MICHIGAN Penalty, illegal block ( Yards) declined"
Ball State,Ohio,"Nathan Rourke pass complete to Isiah Cox for 24 yds to the BalSt 21 for a 1ST down BALL ST Penalty, Defensive holding ( Yards) declined for a 1ST down"
Ball State,Indiana,"Stevie Scott III run for 4 yds for a TD, (Logan Justus KICK) BALL ST Penalty, roughing the kicker ( Yards) declined"
Florida Atlantic,Ball State,"Drew Plitt pass incomplete to Justin Hall, broken up by Meiko Dotson BALL ST Penalty, illegal formation ( Yards) declined"
Ball State,Florida Atlantic,"Chris Robison run for 4 yds to the FlAtl 39 FLA ATLANTIC Penalty, Offensive holding ( Yards) declined"
Florida Atlantic,Ball State,"Drew Plitt sacked by Leighton McCarthy and Ray Ellis for a loss of 8 yards to the BalSt 11 BALL ST Penalty, Offensive holding ( Yards) declined"
Ball State,Northern Illinois,"Ross Bowers pass incomplete to Mitchell Brinkman NORTHERNIL Penalty, Offensive holding ( Yards) declined"
Northern Illinois,Ball State,"Walter Fletcher run for no gain to the NoIll 5 BALL ST Penalty, Offensive holding ( Yards) declined"
Eastern Michigan,Ball State,"Drew Plitt run for 1 yd for a TD EASTRN MICHIGAN Penalty, Defensive offside ( Yards) declined, (Ryan Rimmler KICK)"
Eastern Michigan,Ball State,"Drew Plitt pass incomplete to Riley Miller BALL ST Penalty, Offensive holding ( Yards) declined"
Eastern Michigan,Ball State,"Drew Plitt pass complete to Yo'Heinz Tyler for 29 yds for a TD EASTRN MICHIGAN Penalty, Defensive holding ( Yards) declined, (Ryan Rimmler KICK)"
Ball State,Eastern Michigan,"Mike Glass III pass complete to Arthur Jackson III for 24 yds to the EMich 44 for a 1ST down BALL ST Penalty, Defensive holding ( Yards) declined for a 1ST down"
Ball State,Toledo,"Shakif Seymour run for 1 yd to the Toled 26 TOLEDO Penalty, illegal motion ( Yards) declined"
Toledo,Ball State,"Drew Plitt pass complete to Justin Hall for 36 yds for a TD TOLEDO Penalty, substitution infraction ( Yards) declined, (Ryan Rimmler KICK)"
Ball State,Central Michigan,"Quinten Dormady pass complete to Tyrone Scott for 36 yds to the BalSt 1 for a 1ST down CENTRAL MICH Penalty, Offensive holding ( Yards) declined for a 1ST down"
Kent State,Ball State,"Malik Dunner run for 27 yds to the KntSt 18 for a 1ST down KENT ST Penalty, offside defense ( Yards) declined for a 1ST down"
Ball State,Kent State,"Matthew Trickett 22 yd FG GOOD BALL ST Penalty, offside defense ( Yards) declined"
Ball State,Northern Illinois,"Harrison Waylee run for 1 yd to the NoIll 43 NORTHERNIL Penalty, illegal formation ( Yards) declined"
Ball State,Northern Illinois,"Erin Collins run for 3 yds for a TD BALL ST Penalty,  ( Yards) declined, (Ross Bowers pass  to Daniel Crawford for Two-Point Conversion)"
Northern Illinois,Ball State,"Drew Plitt run for 9 yds to the NoIll 40 for a 1ST down NORTHERNIL Penalty,  ( Yards) declined for a 1ST down"
Northern Illinois,Ball State,"Drew Plitt pass incomplete to Yo'Heinz Tyler, broken up by Jordan Gandy BALL ST Penalty, ineligible downfield on pass ( Yards) declined"
Ball State,Toledo,"Eli Peters pass intercepted Bryce Cosby return for a loss of 4 yards to the Toled 26 TOLEDO Penalty, illegal motion ( Yards) declined"
Ball State,Toledo,"Eli Peters pass complete to Isaiah Winstead for 45 yds to the BalSt 3 for a 1ST down BALL ST Penalty, Defensive pass interference ( Yards) declined for a 1ST down"
Ball State,Central Michigan,"Ty Brock pass intercepted Brett Anderson II return for no gain to the BalSt 37 CENTRAL MICH Penalty, Defensive holding ( Yards) declined"
Ball State,Western Michigan,"Kaleb Eleby pass complete to D'Wayne Eskridge for no gain to the WMich 38 WESTRN MICHIGAN Penalty, Offensive holding ( Yards) declined"
Western Michigan,Ball State,"Drew Plitt run for 9 yds to the WMich 20 for a 1ST down WESTRN MICHIGAN Penalty, Offsides (Andre Carter) declined for a 1ST down"
Ball State,Miami (OH),"BALL ST Penalty, Defensive Pass Interference ( Yards) declined"
Northern Illinois,Ball State,"BALL ST Penalty, Offensive Holding ( Yards) declined"
Michigan State,Baylor,"Jay Lee pass complete to Corey Coleman for 53 yds for a TD, (Chris Callahan KICK) MICHIGAN ST Penalty, roughing the kicker ( Yards) declined"
Michigan State,Baylor,"Bryce Petty run for 1 yd for a TD MICHIGAN ST Penalty,  ( Yards) declined, (Chris Callahan KICK)"
Baylor,West Virginia,"Clint Trickett pass complete to Kevin White for 12 yds for a TD BAYLOR Penalty, Defensive Pass Interference (Xavien Howard) declined, (Josh Lambert KICK)"
North Carolina,Baylor,"Chris Johnson run for 5 yds to the NCaro 34 BAYLOR Penalty, Delay of Game ( Yards) declined"
SMU,Baylor,"Seth Russell pass incomplete to Jay Lee, broken up by David Johnson BAYLOR Penalty, Offensive holding ( Yards) declined"
Baylor,SMU,"Matt Davis run for 7 yds to the SMU 42 SMU Penalty, Offensive holding ( Yards) declined"
Iowa State,Baylor,"Seth Russell pass incomplete to Corey Coleman BAYLOR Penalty, Ineligible Downfield on Pass (Jay Lee) declined"
Baylor,Oklahoma State,"Mason Rudolph pass complete to James Washington for 19 yds for a TD BAYLOR Penalty, Defensive Offside ( Yards) declined, (Ben Grogan KICK)"
Boise State,Baylor,"Zach Smith pass incomplete BAYLOR Penalty, Ineligible Downfield on Pass (Patrick Lawrence) declined"
Baylor,Northwestern State,"Brooks Haack pass complete to Shakeir Ryan for a loss of 12 yards to the NWSt 8 NORTHWESTERN ST Penalty, Offensive holding ( Yards) declined"
Baylor,SMU,"Ben Hicks pass incomplete to James Proche SMU Penalty, Offensive pass interference ( Yards) declined"
Baylor,SMU,"Jamie Sackville punt for 43 yds , Tony Nicholson returns for 6 yds to the Bayl 28 BAYLOR Penalty, IB (10 Yards) declined"
Baylor,Rice,"Tyler Stehling run for 6 yds to the Rice 25 RICE Penalty, Offensive Holding (Peter Godber) declined"
Baylor,TCU,"Kyle Hicks run for no gain to the Bayl 27 TCU Penalty, IF ( Yards) declined"
TCU,Baylor,"Seth Russell pass incomplete to Blake Lynch, broken up by Denzel Johnson BAYLOR Penalty, IR ( Yards) declined"
Baylor,TCU,"Foster Sawyer pass complete to Taj Williams for 13 yds to the BAYLOR 41 for a 1ST down BAYLOR Penalty, Defensive offside ( Yards) declined for a 1ST down"
Baylor,Liberty,"Carrington Mosley run for a loss of 7 yards to the Bayl 13 LIBERTY Penalty, illegal block ( Yards) declined"
UT San Antonio,Baylor,"Anu Solomon pass intercepted Nate Gaines return for 2 yds to the TexSA 46 BAYLOR Penalty, ineligible downfield on pass ( Yards) declined"
Duke,Baylor,"Zach Smith run for a loss of 3 yards to the Bayl 33 BAYLOR Penalty, Offensive holding ( Yards) declined"
Baylor,Kansas State,"Jesse Ertz pass complete to Isaiah Zuber for 16 yds for a TD BAYLOR Penalty, Defensive offside ( Yards) declined, (Matthew McCrane KICK)"
Baylor,Kansas State,"Jesse Ertz pass incomplete to Byron Pringle KANSAS ST Penalty, ineligible downfield on pass ( Yards) declined"
Baylor,Kansas State,"Matthew McCrane kickoff for 65 yds , John Lovett return for 12 yds to the Bayl 47 BAYLOR Penalty, Offensive holding ( Yards) declined"
West Virginia,Baylor,"Zach Smith sacked by Al-Rasheed Benton for a loss of 8 yards to the Bayl 41 BAYLOR Penalty, Offensive holding ( Yards) declined"
Baylor,West Virginia,"Will Grier pass complete to David Sills V for 7 yds to the Bayl 15 for a 1ST down BAYLOR Penalty, offside defense ( Yards) declined for a 1ST down"
Texas,Baylor,"Charlie Brewer run for 6 yds to the Bayl 25 BAYLOR Penalty, Offensive holding ( Yards) declined"
Texas,Baylor,"Charlie Brewer pass complete to JaMycal Hasty for 2 yds to the Bayl 22 BAYLOR Penalty, illegal block ( Yards) declined"
Baylor,Texas,"Daniel Young run for 31 yds for a TD BAYLOR Penalty, offside defense ( Yards) declined, (Joshua Rowland KICK)"
Baylor,TCU,"Kyle Hicks run for 4 yds for a TD BAYLOR Penalty, substitution infraction ( Yards) declined, (Cole Bunce KICK)"
Baylor,Abilene Christian,"Luke Anthony pass incomplete to Chase Cokley ABIL CHRISTIAN Penalty, illegal motion ( Yards) declined"
UT San Antonio,Baylor,"Connor Martin 32 yd FG GOOD BAYLOR Penalty, roughing the kicker ( Yards) declined"
Baylor,Duke,"Quentin Harris pass complete to T.J. Rahming for 17 yds to the Duke 47 for a 1ST down BAYLOR Penalty, offside defense ( Yards) declined for a 1ST down"
Duke,Baylor,"Charlie Brewer pass incomplete to Jalen Hurd BAYLOR Penalty, ineligible downfield on pass ( Yards) declined"
Baylor,Duke,"Quentin Harris pass complete to Scott Bracey for 7 yds to the Bayl 22 for a 1ST down BAYLOR Penalty, Defensive pass interference ( Yards) declined for a 1ST down"
Baylor,Kansas,"Pooka Williams Jr. run for 4 yds to the Kans 9 KANSAS Penalty, illegal block ( Yards) declined"
Kansas State,Baylor,"Drew Galitz kickoff for 54 yds , Isaiah Zuber return for 8 yds to the KanSt 19 Isaiah Zuber fumbled, forced by Chris Miller, recovered by Bayl Chris Miller  KANSAS ST Penalty, Defensive holding ( Yards) declined"
Kansas State,Baylor,"Jalen Hurd run for 1 yd for a TD (Charlie Brewer pass  for Two-Point Conversion) KANSAS ST Penalty, offside defense ( Yards) declined"
Oklahoma State,Baylor,"Jalan McClendon pass complete to JaMycal Hasty for 2 yds to the Bayl 18 BAYLOR Penalty, Offensive holding ( Yards) declined"
Baylor,Oklahoma State,"Tylan Wallace run for 6 yds for a TD BAYLOR Penalty, offside defense ( Yards) declined (Matt Ammendola KICK)"
Iowa State,Baylor,"Charlie Brewer run for 12 yds to the Bayl 46 for a 1ST down BAYLOR Penalty, Offensive holding ( Yards) declined for a 1ST down"
Baylor,Iowa State,"Brock Purdy pass complete to Matthew Eaton for 38 yds to the Bayl 8 for a 1ST down BAYLOR Penalty, Defensive pass interference ( Yards) declined for a 1ST down"
TCU,Baylor,"Charlie Brewer pass incomplete to Chris Platt, broken up by Markell Simmons BAYLOR Penalty, Offensive pass interference ( Yards) declined"
Baylor,UT San Antonio,"Frank Harris sacked by Blake Lynch for a loss of 1 yard to the TexSA 26 UT SAN ANTONIO Penalty, Offensive holding ( Yards) declined"
Baylor,Iowa State,"Brock Purdy pass incomplete IOWA ST Penalty, Offensive holding ( Yards) declined"
Iowa State,Baylor,"Issac Power punt for 39 yds, fair catch by Tarique Milton at the BAYLOR 26 IOWA ST Penalty, roughing the kicker ( Yards) declined"
Baylor,Iowa State,"Connor Assalley 49 yd FG BLOCKED blocked by James Lynch  Blake Lynch return for 46 yds to the IowSt 0 BAYLOR Penalty, illegal block ( Yards) declined"
Baylor,Iowa State,"Brock Purdy pass incomplete to Charlie Kolar, broken up by Henry Black IOWA ST Penalty, Offensive holding ( Yards) declined"
Baylor,Kansas State,"Skylar Thompson pass complete to Dalton Schoen for 7 yds to the KanSt 33 for a 1ST down BAYLOR Penalty, offside defense ( Yards) declined for a 1ST down"
Baylor,Texas Tech,"Jett Duffey pass incomplete TEXAS TECH Penalty, Offensive holding ( Yards) declined"
Baylor,Texas Tech,"Jett Duffey pass complete to R.J. Turner for 14 yds to the TexTc 44 for a 1ST down BAYLOR Penalty, Defensive holding ( Yards) declined for a 1ST down"
TCU,Baylor,"Charlie Brewer run for 4 yds to the Bayl 24 BAYLOR Penalty, face mask (0 yards) ( Yards) declined"
Baylor,TCU,"Max Duggan pass incomplete to Pro Wells TCU Penalty, Offensive holding ( Yards) declined"
TCU,Baylor,"Charlie Brewer pass complete to Trestan Ebner for a loss of 2 yards to the TCU 29 BAYLOR Penalty, illegal formation ( Yards) declined"
Texas,Baylor,"Charlie Brewer pass complete to Denzel Mims for 16 yds to the Texas 28 for a 1ST down TEXAS Penalty, offside defense ( Yards) declined for a 1ST down"
Texas,Baylor,"Gerry Bohanon pass complete to Chris Platt for 7 yds to the Bayl 18 BAYLOR Penalty, illegal block ( Yards) declined"
Oklahoma,Baylor,"Gerry Bohanon pass incomplete to Tyquan Thornton BAYLOR Penalty, Offensive Holding (Xavier Newman) declined"
Baylor,Kansas,"Pooka Williams Jr. run for 21 yds for a TD BAYLOR Penalty, substitution infraction ( Yards) declined (Jacob Borcila KICK)"
Kansas,Baylor,"Charlie Brewer pass incomplete to John Lovett BAYLOR Penalty, Offensive holding ( Yards) declined"
Kansas,Baylor,"Trestan Ebner run for 13 yds to the Kans 33 for a 1ST down KANSAS Penalty, substitution infraction (15 Yards) declined for a 1ST down"
Iowa State,Baylor,"Charlie Brewer pass incomplete to R.J. Sneed BAYLOR Penalty, Offensive holding ( Yards) declined"
Texas Tech,Baylor,"Charlie Brewer pass complete to Christoph Henle for 4 yds to the Bayl 10 BAYLOR Penalty, ineligible downfield on pass ( Yards) declined"
Texas State,Baylor,"Gerry Bohanon pass complete to R.J. Sneed for 15 yds to the TexSt 27 for a 1ST down TEXAS STATE Penalty, Defensive Holding ( Yards) declined for a 1ST down"
Baylor,Texas State,"Brady McBride pass complete to Marcell Barbee for 21 yds to the TEXSTATE 40 for a 1ST down BAYLOR Penalty, Defensive Pass Interference (R.J. Sneed) declined for a 1ST down"
Texas Southern,Baylor,"Taye McWilliams run for 44 yds to the BAYLOR 31 for a 1ST down TEXAS SOUTHERN Penalty, Illegal Substitution (Jonathan Giles) declined for a 1ST down"
West Virginia,Baylor,"Gerry Bohanon pass complete to Ben Sims for 10 yds for a TD WEST VIRGINIA Penalty, Defensive Offside (Alonzo Addae) declined, (Isaiah Hankins KICK)"
West Virginia,Baylor,"Abram Smith run for 20 yds to the BAYLOR 38 for a 1ST down WEST VIRGINIA Penalty, Defensive Offside (Bryce Ford-Wheaton) declined for a 1ST down"
Oklahoma,Baylor,"Gerry Bohanon pass complete to Trestan Ebner for 4 yds to the Bayl 43 BAYLOR Penalty, Offensive Holding ( Yards) declined"
Kansas State,Baylor,"BAYLOR Penalty, Offensive Holding ( Yards) declined"
Baylor,Texas Tech,"TEXAS TECH Penalty, Offensive Holding (Seth Collins) declined"
Boise State,Louisiana,"Terrance Broadway sacked by Blake Renaud for a loss of 4 yards to the BoiSt 46 UL LAFAYETTE Penalty, illegal formation ( Yards) declined"
Boise State,Colorado State,"Coleman Key run for 5 yds to the ColSt 30 COLORADO ST Penalty, Offensive holding ( Yards) declined"
Utah State,Boise State,"Brett Rypien pass incomplete to Shane Williams-Rhodes BOISE ST Penalty, Offensive Holding ( Yards) declined"
Utah State,Boise State,"Brett Rypien pass incomplete BOISE ST Penalty, Offensive Holding ( Yards) declined"
UNLV,Boise State,"Kelsey Young run for 2 yds for a TD, (Tyler Rausa KICK) UNLV Penalty, Defensive offside ( Yards) declined"
New Mexico,Boise State,"Tyler Rausa on-side kick recovered by NEW MEXICO at the BoiSt 45 BOISE ST Penalty, Defensive offside (-5 Yards) declined"
Boise State,Louisiana,"Anthony Jennings sacked by Sam McCaskill for a loss of 6 yards to the LaLaf 23 UL LAFAYETTE Penalty, face mask (0 yards) ( Yards) declined"
Boise State,Louisiana,"Anthony Jennings pass incomplete UL LAFAYETTE Penalty, Offensive holding ( Yards) declined"
Boise State,Utah State,"LaJuan Hunt run for 2 yds to the UthSt 13 UTAH ST Penalty, Personal Foul ( Yards) declined"
Boise State,San Diego State,"Juwan Washington run for 2 yds to the SDSt 34 SAN DIEGO ST Penalty, Offensive holding ( Yards) declined"
Boise State,San Diego State,"Christian Chapman pass incomplete to Nick Bawden SAN DIEGO ST Penalty, ineligible downfield on pass ( Yards) declined"
Wyoming,Boise State,"Joel Velazquez punt for 38 yds, downed at the BOISEST 29 WYOMING Penalty, roughing the kicker ( Yards) declined"
Utah State,Boise State,"Quinn Skillin punt for 47 yds , Jordan Nathan returns for a loss of 5 yards to the UthSt 12 UTAH ST Penalty, roughing the kicker ( Yards) declined"
Boise State,Wyoming,"Tyler Vander Waal pass complete to Nico Evans for a loss of 1 yard to the Wyom 36 WYOMING Penalty, Offensive holding ( Yards) declined"
Boise State,Wyoming,"Tyler Vander Waal sacked by Curtis Weaver for a loss of 14 yards to the Wyom 30 WYOMING Penalty, Offensive holding ( Yards) declined"
Boise State,San Diego State,"Ryan Agnew pass complete to Chase Jasmin for 2 yds to the SDSt 45 SAN DIEGO ST Penalty, illegal formation ( Yards) declined"
Boise State,San Diego State,"Ryan Agnew pass incomplete SAN DIEGO ST Penalty, illegal formation ( Yards) declined"
Nevada,Boise State,"Haden Hoggarth 31 yd FG GOOD NEVADA Penalty, personal foul ( Yards) declined"
Utah State,Boise State,"Brett Rypien pass incomplete to Akilian Butler BOISE ST Penalty, Offensive Holding ( Yards) declined"
Boise State,Utah State,"Jordan Love pass incomplete to Darwin Thompson UTAH ST Penalty, Offensive Holding (Sean Taylor) declined"
Boise State,Florida State,"James Blackman run for 9 yds to the FlaSt 42 FLORIDA ST Penalty, Illegal Shift ( Yards) declined"
Boise State,Portland State,"Davis Alexander pass incomplete to Mataio Talalemotu PORTLAND ST Penalty, ineligible downfield on pass ( Yards) declined"
Boise State,Portland State,"Davis Alexander run for 3 yds to the PrtSt 40 PORTLAND ST Penalty, illegal block ( Yards) declined"
Boise State,UNLV,"Kenyon Oblad pass complete to Randal Grimes for 15 yds Randal Grimes fumbled, forced by Markel Reed, recovered by UNLV Randal Grimes for a 1ST down BOISE ST Penalty, Defensive offside ( Yards) declined for a 1ST down"
Boise State,Hawai'i,"Cole McDonald pass incomplete to Cedric Byrd II HAWAII Penalty, Offensive holding ( Yards) declined"
Hawai'i,Boise State,"Jaylon Henderson pass incomplete to Garrett Collingham BOISE ST Penalty, ineligible downfield on pass ( Yards) declined"
Boise State,San José State,"Josh Love pass incomplete to Isaiah Hamilton, broken up by Kekaula Kaniho SAN JOSÉ ST Penalty, Offensive holding ( Yards) declined"
San José State,Boise State,"Chase Cord run for 8 yds for a TD (Eric Sachse KICK) SAN JOSÉ ST Penalty, false start ( Yards) declined"
San José State,Boise State,"George Holani run for 6 yds for a TD (Eric Sachse KICK) SAN JOSÉ ST Penalty, Defensive offside ( Yards) declined"
Wyoming,Boise State,"Chase Cord run for no gain to the BoiSt 39 BOISE ST Penalty, Offensive holding ( Yards) declined"
Wyoming,Boise State,"Eric Sachse 28 yd FG GOOD WYOMING Penalty, roughing holder ( Yards) declined"
Colorado State,Boise State,"Garrett Collingham run for 2 yds for a TD (Eric Sachse KICK) COLORADO ST Penalty, Defensive offside ( Yards) declined"
Utah State,Boise State,"George Holani run for 1 yd for a TD UTAH ST Penalty, offside defense ( Yards) declined (Jonah Dalmas KICK)"
Boise State,San José State,"Nick Starkel pass complete to Tre Walker for 55 yds for a TD BOISE ST Penalty, Defensive Offside ( Yards) declined (Matt Mercurio KICK)"
UTEP,Boise State,"BOISE ST Penalty, Illegal Formation ( Yards) declined"
UTEP,Boise State,"UTEP Penalty, Holding Roughing the Passer on MCIVER-BROWN, Dresden enforced half the distance from the goal (Walter Neil) declined for a 1ST down"
Boise State,Oklahoma State,"OKLAHOMA ST Penalty, Offensive Holding ( Yards) declined"
Utah State,Boise State,"BOISE ST Penalty, Offensive Holding ( Yards) declined"
Boise State,Fresno State,"Jake Haener pass incomplete to Josh Kelly FRESNO ST Penalty, ineligible downfield on pass ( Yards) declined"
Fresno State,Boise State,"Hank Bachmeier pass complete to Khalil Shakir for 9 yds to the FrsSt 30 for a 1ST down FRESNO ST Penalty, Defensive offside ( Yards) declined for a 1ST down"
San Diego State,Boise State,"Hank Bachmeier pass complete to Latrell Caples for 23 yds to the SDSt 13 for a 1ST down SAN DIEGO ST Penalty, Offsides (Cameron Thomas) declined for a 1ST down"
Maine,Boston College,"Tyler Murphy pass incomplete to N/A BOSTON COLLEGE Penalty, ineligible downfield on pass ( Yards) declined"
NC State,Boston College,"Tyler Murphy pass incomplete to N/A BOSTON COLLEGE Penalty, illegal formation ( Yards) declined"
Boston College,NC State,"Jacoby Brissett sacked by Steven Daniels for a loss of 3 yards to the NCSt 39 NC STATE Penalty, Offensive holding ( Yards) declined"
Boston College,Clemson,"Cole Stoudt pass complete to Wayne Gallman for a loss of 2 yards to the Clem 17 CLEMSON Penalty, Offensive holding (NA) declined"
Boston College,Clemson,"Cole Stoudt pass complete to Mike Williams for 15 yds to the Clem 46 for a 1ST down BOSTON COLLEGE Penalty, Defensive offside (NA) declined for a 1ST down"
Florida State,Boston College,"Tyler Murphy run for 12 yds to the BC 36 for a 1ST down FLORIDA ST Penalty, Offside Defense ( Yards) declined for a 1ST down"
Boston College,Maine,"Dan Collins pass incomplete to Micah Wright MAINE Penalty, Offensive holding ( Yards) declined"
Howard,Boston College,"Alex Howell kickoff for 62 yds , Julian Blair return for 8 yds to the Howrd 9 Julian Blair fumbled, forced by Kevin Bletzer, recovered by BC Mike Strizak  HOWARD Penalty, illegal block ( Yards) declined"
Howard,Boston College,"HOWARD Penalty, substitution infraction ( Yards) declined"
Boston College,Howard,"Da'Vaun Johnson pass incomplete HOWARD Penalty, illegal shift ( Yards) declined"
Boston College,Northern Illinois,"Joel Bouagnon run for 12 yds to the NoIll 32 for a 1ST down BOSTON COLLEGE Penalty,  ( Yards) declined for a 1ST down"
Northern Illinois,Boston College,"Jon Hilliman run for 21 yds for a TD, (Colton Lichtenberg KICK) NORTHERNIL Penalty, Defensive offside ( Yards) declined"
Boston College,Louisville,"Lamar Jackson sacked by Gabriel McClary for a loss of 17 yards to the LOUISVILLE 45 LOUISVILLE Penalty, Offensive holding ( Yards) declined"
Boston College,Virginia Tech,"Travon McMillian run for 11 yds to the VTech 39 for a 1ST down BOSTON COLLEGE Penalty, substitution infraction ( Yards) declined for a 1ST down"
Boston College,NC State,"Jacoby Brissett pass incomplete to Bra'Lon Cherry NC STATE Penalty, personal foul ( Yards) declined"
Boston College,UMass,"Marquis Young run for 1 yd to the UMass 24 MASSACHUSETTS Penalty, illegal formation (-12 Yards) declined"
Boston College,UMass,"Ross Comis pass incomplete to Roderick Jones Jr. MASSACHUSETTS Penalty, ineligible downfield on pass ( Yards) declined"
Boston College,Wagner,"Alex Thomson pass incomplete to Ryan Owens WAGNER Penalty, illegal motion ( Yards) declined"
Buffalo,Boston College,"Patrick Towles pass incomplete to Jeff Smith BOSTON COLLEGE Penalty, Offensive holding ( Yards) declined"
NC State,Boston College,"Patrick Towles pass incomplete to Jeff Smith BOSTON COLLEGE Penalty, Offensive holding ( Yards) declined"
NC State,Boston College,"Patrick Towles pass incomplete to Charlie Callinan BOSTON COLLEGE Penalty, illegal motion ( Yards) declined"
Boston College,NC State,"Matthew Dayes run for 1 yd to the NCSt 49 NC STATE Penalty, illegal formation ( Yards) declined"
Boston College,NC State,"NC STATE Penalty, Offensive holding ( Yards) declined"
