Fourteen,Sixteen
Alabama,Alabama
Arkansas,Arkansas
Auburn,Auburn
Florida,Florida
Georgia,Georgia
Kentucky,Kentucky
LSU,LSU
Mississippi State,Mississippi State
Missouri,Missouri
Ole Miss,Ole Miss
South Carolina,Oklahoma
Tennessee,South Carolina
Texas A&M,Tennessee
Vanderbilt,Texas
,Texas A&M
,Vanderbilt
