Penalties
12 [Mm]en [Oo]n [Tt]he [Ff]ield
[Aa]ssisting [Tt]he [Rr]unner
[Bb]lock [Bb]elow [Tt]he [Ww]aist
[Bb]lock [Bb]elow [Ww]aist
[Cc]hop [Bb]lock
[Cc]lipping
[Dd]efensive [Hh]olding
[Dd]efensive [Oo]ffside
[Dd]efensive [Pp]ass [Ii]nterference
[Dd]elay [Oo]f [Gg]ame
[Dd]isconcerting [Ss]ignals
[Ee]ncroachment
[Ff]ace [Mm]ask
[Ff]ailure [Tt]o [Ww]ear [Rr]equired [Ee]quipment
[Ff]alse [Ss]tart
[Hh]elping [Rr]unner
[Hh]olding
[Hh]orse [Cc]ollar [Tt]ackle
[Ii]llegal [Bb]atting
[Ii]llegal [Bb]lock [Ii]n [Bb]ack
[Ii]llegal [Bb]lock [Ii]n [Tt]he [Bb]ack
[Ii]llegal [Bb]lock
[Ii]llegal [Ff]air [Cc]atch [Ss]ignal
[Ii]llegal [Ff]ormation
[Ii]llegal [Ff]orward [Pp]ass
[Ii]llegal [Hh]elmet [Cc]ontact
[Ii]llegal [Kk]icking
[Ii]llegal [Mm]otion
[Ii]llegal [Pp]articipation
[Ii]llegal [Pp]rocedure
[Ii]llegal [Ss]hift
[Ii]llegal [Ss]nap
[Ii]llegal [Ss]ubstitution
[Ii]llegal [Tt]ouch [Oo]f [Kk]ick
[Ii]llegal [Tt]ouching
[Ii]llegal [Uu]se [Oo]f [Hh]ands
[Ii]llegal [Uu]se [Oo]f [Tt]he [Hh]ands
[Ii]llegal [Ww]edge
[Ii]neligible [Dd]ownfield [Oo]n [Kk]ick
[Ii]neligible [Dd]ownfield [Oo]n [Pp]ass
[Ii]neligible [Rr]eceiver [Dd]ownfield [Oo]n [Pp]ass
[Ii]neligible [Rr]eceiver [Dd]ownfield
[Ii]ntentional [Gg]rounding
[Kk]ick [Cc]atching [Ii]nterference
[Kk]ick [Cc]atch [Ii]nterference
[Kk]ickoff [Oo]ut [Oo]f [Bb]ounds
[Nn]eutral [Zz]one [Ii]nfraction
[Oo]ffensive [Hh]olding
[Oo]ffensive [Oo]ffside
[Oo]ffensive [Pp]ass [Ii]nterference
[Oo]ffsides?
[Oo]ffside [Dd]efense
[Pp]ass [Ii]nterference
"[Pp]ersonal [Ff]oul, [Tt]argeting"
[Pp]ersonal [Ff]oul
[Pp]layer [Dd]isqualification
[Rr]oughing [Pp]asser
[Rr]oughing [Tt]he [Kk]icker
[Rr]oughing [Tt]he [Pp]asser
[Rr]unning [Ii]nto [Kk]icker
[Ss]ideline [Ii]nterference
[Ss]ubstitution [Ii]nfraction
[Tt]argeting [Uu]nnecessary [Rr]oughness
[Tt]argeting
[Tt]ripping
[Uu]nnecessary [Rr]oughness
[Uu]nsportsmanlike [Cc]onduct
\bBI\b
\bCIT\b
\bE\b
\bFL\b
\bFOR\b
\bHL\b
\bH0\b
\bHOL\b
\bIB\b
\bIF\b
\bIK\b
\bIL\b
\bIM\b
\bIP\b
\bIS\b
\bOF\b
\bO\b
\bPS\b
\bRO\b
\bUN\b
\bUR\b
\bU\b
