Connecticut;#000E2F;#7C878E;(CONNECTICUT|UCONN|UConn|CON|UCO);CONNECTICUT;UCONN;UConn;CON;UCO;;;
Delaware;#00539F;#FFD200;(DELAWARE|DEL);DELAWARE;DEL;;;;;;
Delaware State;#EE3124;#72CDF4;(DELAWARE ST|DSU|DelSt);DELAWARE ST;DSU;DelSt;;;;;
Drake;#004477;#999999;(DRAKE|DU);DRAKE;DU;;;;;;
Duke;#003087;#FFFFFF;(DUKE|DUK|DU);DUKE;DUK;DU;;;;;
Duquesne;#041E42;#BA0C2F;(DUQUESNE|DUQ);DUQUESNE;DUQ;;;;;;
East Carolina;#592A8A;#FDC82F;(EAST CAROLINA|EASTCRLINA|ECU);EAST CAROLINA;EASTCRLINA;ECU;;;;;
East Tennessee State;#041E42;#FFC72C;(ETSU|EAST TENN ST);ETSU;EAST TENN ST;;;;;;
Eastern Illinois;#919295;#004B83;(EASTRN ILLINOIS|EIU);EASTRN ILLINOIS;EIU;;;;;;
Eastern Kentucky;#4C151E;#FFFFFF;(EKU|EASTRN KENTUCKY|EASTERNKY);EKU;EASTRN KENTUCKY;EASTERNKY;;;;;
Eastern Michigan;#006633;#000000;(EASTMICH|EASTRN MICHIGAN|EMich|EMU);EASTMICH;EASTRN MICHIGAN;EMich;EMU;;;;
Eastern Washington;#A10022;#6D6E71;(EASTERN WASH|EWU|EASTWASH);EASTERN WASH;EWU;EASTWASH;;;;;
Elon;#73000A;#B59A57;(ELON|ELO);ELON;ELO;;;;;;
Florida;#0021A5;#FA4616;(FLORIDA|FLA|Fla|UFL|UF);FLORIDA;FLA;Fla;UFL;UF;;;
Florida A&M;#EE7624;#1B5633;(FLORIDA A&M|FLORIDAAM|FAMU|FAM);FLORIDA A&M;FLORIDAAM;FAMU;FAM;;;;
Florida Atlantic;#003366;#CC0000;(FLA ATLANTIC|FLAATLANTC|FAU20\d+|FAU|FlAtl);FLA ATLANTIC;FLAATLANTC;FAU20\d+;FAU;FlAtl;;;
Florida International;#081E3F;#B6862C;(FIU|FLORIDA INTL|FLAINTL);FIU;FLORIDA INTL;FLAINTL;;;;;
Florida State;#782F40;#CEB888;(FLORIDAST|FSU|FS|FLORIDA ST|FlaSt);FLORIDAST;FSU;FS;FLORIDA ST;FlaSt;;;
Fordham;#860038;#FFFFFF;(FORDHAM|FORD|FOR|FHU);FORDHAM;FORD;FOR;FHU;;;;
Fresno State;#DB0032;#002E6D;(FRESNO ST|FRESNOST|FRS|FST|FSU|FS);FRESNO ST;FRESNOST;FRS;FST;FSU;FS;;
