Defense,Offense,Quarter,Down,Drive_number,Play_number,Play_type,Yard_line,Distance,Yards_gained,Yards_to_goal,Scoring,Away,Clock,Defense_conference,Defense_score,Defense_timeouts,Drive_id,Game_id,Home,ID,Offense_conference,Offense_score,Offense_timeouts,Play_text,Wall_clock,Year,Week,Season,Who_scored,Yards_to_success,Success,TD_first,Score_drive,Runner,Passer,Receiver,Interceptor,Tackler,Forcer,Fumbler,Recoverer,PAT_kicker,PAT_type,Two_point,Two_point_type,Two_point_runner,Two_point_passer,Two_point_receiver,Kicker,Kick_type,Returner,Blocker,FG_type,Punter,Punt_type,Timeout_team,Timeout_time,Penalty1_type,Penalty1_status,Penalty1_team,Penalty1_transgressor,Penalty2_type,Penalty2_status,Penalty2_team,Penalty2_transgressor,Penalty3_type,Penalty3_status,Penalty3_team,Penalty3_transgressor
Alabama,Texas,1,1,1,1,Kickoff,35,10,17,65,false,Alabama,15:00,SEC,0,3,4014038681,401403868,Texas,401403868101849902,Big 12,0,3,"Will Stone kickoff for 64 yds , Jahmyr Gibbs return for 17 yds to the TEXAS 48 ALABAMA Penalty, Offensive Holding (9 Yards) to the Alab 9",2022-09-10T16:09:13.000Z,2022,2,regular,neither,5.0,Kickoff,true,false,,,,,,,,,,,,,,,,Will Stone,returned,Jahmyr Gibbs,,,,,,,Offensive Holding,enforced,Alabama,No data,,,,,,,,
Texas,Alabama,1,1,1,2,Rush,91,10,6,91,false,Alabama,14:55,Big 12,0,3,4014038681,401403868,Texas,401403868101854401,SEC,0,3,Jahmyr Gibbs run for 6 yds to the Alab 15,2022-09-10T16:09:20.000Z,2022,2,regular,neither,5.0,Successful,false,false,Jahmyr Gibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,Alabama,1,2,1,3,Penalty,85,4,-5,85,false,Alabama,14:00,Big 12,0,3,4014038681,401403868,Texas,401403868101859901,SEC,0,3,"ALABAMA Penalty, False Start (-5 Yards) to the Alab 10",2022-09-10T16:09:32.000Z,2022,2,regular,neither,2.8,Penalty,false,false,,,,,,,,,,,,,,,,,,,,,,,,,False Start,enforced,Alabama,No data,,,,,,,,
Texas,Alabama,1,2,1,4,Rush,90,9,7,90,false,Alabama,13:00,Big 12,0,3,4014038681,401403868,Texas,401403868101869901,SEC,0,3,Jahmyr Gibbs run for 7 yds to the Alab 17,2022-09-10T16:09:49.000Z,2022,2,regular,neither,6.3,Successful,false,false,Jahmyr Gibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,Alabama,1,3,1,5,Pass Reception,83,2,10,83,false,Alabama,12:45,Big 12,0,3,4014038681,401403868,Texas,401403868101875401,SEC,0,3,Bryce Young pass complete to Jahmyr Gibbs for 10 yds to the Alab 27 for a 1ST down,2022-09-10T16:10:12.000Z,2022,2,regular,neither,2,Successful,true,false,,Bryce Young,Jahmyr Gibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,Alabama,1,1,1,6,Pass Reception,73,10,23,73,false,Alabama,12:00,Big 12,0,3,4014038681,401403868,Texas,401403868101879901,SEC,0,3,Bryce Young pass complete to Jahmyr Gibbs for 23 yds to the 50 yard line for a 1ST down,2022-09-10T16:10:32.000Z,2022,2,regular,neither,5.0,Successful,true,false,,Bryce Young,Jahmyr Gibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,Alabama,1,1,1,7,Rush,50,10,4,50,false,Alabama,11:35,Big 12,0,3,4014038681,401403868,Texas,401403868101886401,SEC,0,3,Jase McClellan run for 4 yds to the Texas 46,2022-09-10T16:10:57.000Z,2022,2,regular,neither,5.0,Unsuccessful,false,false,Jase McClellan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,Alabama,1,2,1,8,Pass Incompletion,46,6,0,46,false,Alabama,11:25,Big 12,0,3,4014038681,401403868,Texas,401403868101887401,SEC,0,3,Bryce Young pass incomplete to Cameron Latu,2022-09-10T16:11:12.000Z,2022,2,regular,neither,4.199999999999999,Unsuccessful,false,false,,Bryce Young,Cameron Latu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,Alabama,1,3,1,9,Pass Reception,46,6,13,46,false,Alabama,10:55,Big 12,0,3,4014038681,401403868,Texas,401403868101894401,SEC,0,3,Bryce Young pass complete to Kobe Prentice for 13 yds to the Texas 33 for a 1ST down,2022-09-10T16:12:23.000Z,2022,2,regular,neither,6,Successful,true,false,,Bryce Young,Kobe Prentice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,Alabama,1,1,1,10,Pass Reception,33,10,7,33,false,Alabama,10:15,Big 12,0,3,4014038681,401403868,Texas,401403868101898401,SEC,0,3,Bryce Young pass complete to Jahmyr Gibbs for 7 yds to the Texas 26,2022-09-10T16:13:03.000Z,2022,2,regular,neither,5.0,Successful,false,false,,Bryce Young,Jahmyr Gibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
