Defense,Offense,Quarter,Down,Drive_number,Play_number,Play_type,Yard_line,Distance,Yards_gained,Yards_to_goal,Scoring,Away,Clock,Defense_conference,Defense_score,Defense_timeouts,Drive_id,Game_id,Home,ID,Offense_conference,Offense_score,Offense_timeouts,Play_text,Wall_clock,Year,Week,Season,Who_scored,Yards_to_success,Success,TD_first,Score_drive,Runner,Passer,Receiver,Interceptor,Tackler,Forcer,Fumbler,Recoverer,PAT_kicker,PAT_type,Two_point,Two_point_type,Two_point_runner,Two_point_passer,Two_point_receiver,Kicker,Kick_type,Returner,Blocker,FG_type,Punter,Punt_type,Timeout_team,Timeout_time,Penalty1_type,Penalty1_status,Penalty1_team,Penalty1_transgressor,Penalty2_type,Penalty2_status,Penalty2_team,Penalty2_transgressor,Penalty3_type,Penalty3_status,Penalty3_team,Penalty3_transgressor
Alabama,Louisiana Monroe,4,2,24,3,Rush,66,11,2,66,false,Louisiana Monroe,11:11,SEC,56,3,40140388024,401403880,Alabama,4.01403880104889e17,Sun Belt,7,2,Andrew Henry run for 2 yds to the LaMon 36,2022-09-17T22:49:23.000Z,2022,3,regular,neither,7.699999999999999,Unsuccessful,false,false,Andrew Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Louisiana Monroe,4,3,24,4,Pass Incompletion,64,9,0,64,false,Louisiana Monroe,11:06,SEC,56,3,40140388024,401403880,Alabama,4.01403880104889e17,Sun Belt,7,2,Chandler Rogers pass incomplete,2022-09-17T22:50:05.000Z,2022,3,regular,neither,9,Unsuccessful,false,false,,Chandler Rogers,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Louisiana Monroe,4,4,24,5,Punt,64,9,34,64,false,Louisiana Monroe,10:53,SEC,56,3,40140388024,401403880,Alabama,4.01403880104895e17,Sun Belt,7,2,"Braxton Guilbeau punt for 47 yds , Isaiah Bond returns for 34 yds to the LaMon 49",2022-09-17T22:51:03.000Z,2022,3,regular,neither,9,Punt,true,false,,,,,,,,,,,,,,,,,,Isaiah Bond,,,Braxton Guilbeau,returned,,,,,,,,,,,,,,
Louisiana Monroe,Alabama,4,1,25,1,Rush,51,10,8,49,false,Louisiana Monroe,10:37,Sun Belt,7,2,40140388025,401403880,Alabama,4.01403880104896e17,SEC,56,3,Trey Sanders run for 8 yds to the LaMon 41,2022-09-17T22:51:12.000Z,2022,3,regular,neither,5.0,Successful,false,true,Trey Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Monroe,Alabama,4,2,25,2,Rush,59,2,10,41,false,Louisiana Monroe,9:59,Sun Belt,7,2,40140388025,401403880,Alabama,4.01403880104904e17,SEC,56,3,Trey Sanders run for 10 yds to the LaMon 31 for a 1ST down,2022-09-17T22:51:50.000Z,2022,3,regular,neither,1.4,Successful,true,true,Trey Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Monroe,Alabama,4,1,25,3,Rush,69,10,11,31,false,Louisiana Monroe,9:54,Sun Belt,7,2,40140388025,401403880,Alabama,4.01403880104905e17,SEC,56,3,Trey Sanders run for 11 yds to the LaMon 20 for a 1ST down,2022-09-17T22:51:58.000Z,2022,3,regular,neither,5.0,Successful,true,true,Trey Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Monroe,Alabama,4,1,25,4,Penalty,80,10,-15,20,false,Louisiana Monroe,9:30,Sun Belt,7,2,40140388025,401403880,Alabama,4.01403880104907e17,SEC,56,3,"ALABAMA Penalty, Face Mask (15 yards) (-15 Yards) to the LaMon 35",2022-09-17T22:56:04.000Z,2022,3,regular,neither,5.0,Penalty,false,true,,,,,,,,,,,,,,,,,,,,,,,,,Face Mask,enforced,Alabama,No data,,,,,,,,
Louisiana Monroe,Alabama,4,1,25,5,Rush,65,25,15,35,false,Louisiana Monroe,9:20,Sun Belt,7,2,40140388025,401403880,Alabama,4.01403880104908e17,SEC,56,3,"Jalen Milroe run for 25 yds to the LaMon 10 ALABAMA Penalty, Offensive Holding (-10 Yards) to the LaMon 20",2022-09-17T22:57:16.000Z,2022,3,regular,neither,12.5,Successful,false,true,Jalen Milroe,,,,,,,,,,,,,,,,,,,,,,,,Offensive Holding,enforced,Alabama,No data,,,,,,,,
Louisiana Monroe,Alabama,4,1,25,6,Pass Incompletion,80,10,0,20,false,Louisiana Monroe,9:13,Sun Belt,7,2,40140388025,401403880,Alabama,4.01403880104909e17,SEC,56,3,Jalen Milroe pass incomplete,2022-09-17T22:57:33.000Z,2022,3,regular,neither,5.0,Unsuccessful,false,true,,Jalen Milroe,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Monroe,Alabama,4,2,25,7,Rush,80,10,12,20,false,Louisiana Monroe,8:58,Sun Belt,7,2,40140388025,401403880,Alabama,4.01403880104914e17,SEC,56,3,Jamarion Miller run for 12 yds to the LaMon 8 for a 1ST down,2022-09-17T22:58:06.000Z,2022,3,regular,neither,7.0,Successful,true,true,Jamarion Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
