Defense,Offense,Quarter,Down,Drive_number,Play_number,Play_type,Yard_line,Distance,Yards_gained,Yards_to_goal,Scoring,Away,Clock,Defense_conference,Defense_score,Defense_timeouts,Drive_id,Game_id,Home,ID,Offense_conference,Offense_score,Offense_timeouts,Play_text,Wall_clock,Year,Week,Season,Who_scored,Yards_to_success,Success,TD_first,Score_drive,Runner,Passer,Receiver,Interceptor,Tackler,Forcer,Fumbler,Recoverer,PAT_kicker,PAT_type,Two_point,Two_point_type,Two_point_runner,Two_point_passer,Two_point_receiver,Kicker,Kick_type,Returner,Blocker,FG_type,Punter,Punt_type,Timeout_team,Timeout_time,Penalty1_type,Penalty1_status,Penalty1_team,Penalty1_transgressor,Penalty2_type,Penalty2_status,Penalty2_team,Penalty2_transgressor,Penalty3_type,Penalty3_status,Penalty3_team,Penalty3_transgressor
Alabama,Arkansas,1,1,1,1,Kickoff,35,10,0,65,false,Alabama,15:00,SEC,0,3,4014039021,401403902,Arkansas,401403902101849902,SEC,0,3,Jake Bates kickoff for 65 yds for a touchback,2022-10-01T19:39:42.000Z,2022,5,regular,neither,5.0,Kickoff,false,false,,,,,,,,,,,,,,,,Jake Bates,touchback,No data,,,,,,,,,,,,,,,,,,
Arkansas,Alabama,1,1,1,2,Rush,75,10,3,75,false,Alabama,14:50,SEC,0,3,4014039021,401403902,Arkansas,401403902101854901,SEC,0,3,Jahmyr Gibbs run for 3 yds to the Alab 28,2022-10-01T19:41:37.000Z,2022,5,regular,neither,5.0,Unsuccessful,false,false,Jahmyr Gibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,Alabama,1,2,1,3,Pass Reception,72,7,41,72,false,Alabama,14:20,SEC,0,3,4014039021,401403902,Arkansas,401403902101857901,SEC,0,3,Bryce Young pass complete to Kobe Prentice for 41 yds to the Ark 31 for a 1ST down,2022-10-01T19:42:19.000Z,2022,5,regular,neither,4.8999999999999995,Successful,true,false,,Bryce Young,Kobe Prentice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,Alabama,1,1,1,4,Rush,31,10,7,31,false,Alabama,13:45,SEC,0,3,4014039021,401403902,Arkansas,401403902101865401,SEC,0,3,Jahmyr Gibbs run for 7 yds to the Ark 24,2022-10-01T19:42:51.000Z,2022,5,regular,neither,5.0,Successful,false,false,Jahmyr Gibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,Alabama,1,2,1,5,Pass Reception,24,3,5,24,false,Alabama,13:15,SEC,0,3,4014039021,401403902,Arkansas,401403902101868401,SEC,0,3,Bryce Young pass complete to Traeshon Holden for 5 yds to the Ark 19 for a 1ST down,2022-10-01T19:43:38.000Z,2022,5,regular,neither,2.0999999999999996,Successful,true,false,,Bryce Young,Traeshon Holden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,Alabama,1,1,1,6,Pass Interception Return,19,10,-3,19,false,Alabama,12:48,SEC,0,3,4014039021,401403902,Arkansas,401403902101875101,SEC,0,3,Bryce Young pass intercepted Dwight McGlothern return for a loss of 3 yards to the Ark 1,2022-10-01T19:44:49.000Z,2022,5,regular,neither,5.0,Unsuccessful,false,false,,Bryce Young,,Dwight McGlothern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Arkansas,1,1,2,1,Rush,1,10,4,99,false,Alabama,12:40,SEC,0,3,4014039022,401403902,Arkansas,401403902101875901,SEC,0,3,KJ Jefferson run for 4 yds to the Ark 5,2022-10-01T19:45:17.000Z,2022,5,regular,neither,5.0,Unsuccessful,false,false,KJ Jefferson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Arkansas,1,2,2,2,Rush,5,6,11,95,false,Alabama,12:05,SEC,0,3,4014039022,401403902,Arkansas,401403902101879401,SEC,0,3,Raheim Sanders run for 11 yds to the Ark 16 for a 1ST down,2022-10-01T19:45:51.000Z,2022,5,regular,neither,4.199999999999999,Successful,true,false,Raheim Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Arkansas,1,1,2,3,Pass Reception,16,10,8,84,false,Alabama,11:33,SEC,0,3,4014039022,401403902,Arkansas,401403902101886601,SEC,0,3,KJ Jefferson pass complete to Ketron Jackson Jr. for 8 yds to the Ark 24,2022-10-01T19:46:29.000Z,2022,5,regular,neither,5.0,Successful,false,false,,KJ Jefferson,Ketron Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Arkansas,1,2,2,4,Rush,24,2,6,76,false,Alabama,11:10,SEC,0,3,4014039022,401403902,Arkansas,401403902101888901,SEC,0,3,Raheim Sanders run for 6 yds to the Ark 30 for a 1ST down,2022-10-01T19:47:02.000Z,2022,5,regular,neither,1.4,Successful,true,false,Raheim Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Arkansas,1,1,2,5,Rush,30,10,3,70,false,Alabama,10:56,SEC,0,3,4014039022,401403902,Arkansas,401403902101894301,SEC,0,3,Raheim Sanders run for 3 yds to the Ark 33,2022-10-01T19:47:20.000Z,2022,5,regular,neither,5.0,Unsuccessful,false,false,Raheim Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Arkansas,1,2,2,6,Pass Reception,33,7,-4,67,false,Alabama,10:25,SEC,0,3,4014039022,401403902,Arkansas,401403902101897402,SEC,0,3,KJ Jefferson pass complete to Jadon Haselwood for a loss of 4 yards to the Ark 29,2022-10-01T19:48:18.000Z,2022,5,regular,neither,4.8999999999999995,Unsuccessful,false,false,,KJ Jefferson,Jadon Haselwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Arkansas,1,3,2,7,Pass Incompletion,29,11,0,71,false,Alabama,10:00,SEC,0,3,4014039022,401403902,Arkansas,401403902101899901,SEC,0,3,KJ Jefferson pass incomplete to Matt Landers,2022-10-01T19:49:30.000Z,2022,5,regular,neither,11,Unsuccessful,false,false,,KJ Jefferson,Matt Landers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Arkansas,1,4,2,8,Punt,29,11,0,71,false,Alabama,9:50,SEC,0,3,4014039022,401403902,Arkansas,401403902101904901,SEC,0,3,"Max Fletcher punt for 36 yds, punt out-of-bounds at the Alab 35",2022-10-01T19:50:01.000Z,2022,5,regular,neither,11,Punt,false,false,,,,,,,,,,,,,,,,,,,,,Max Fletcher,out-of-bounds,,,,,,,,,,,,,,
Arkansas,Alabama,1,1,3,1,Rush,65,10,9,65,false,Alabama,9:30,SEC,0,3,4014039023,401403902,Arkansas,401403902101906901,SEC,0,3,Jahmyr Gibbs run for 9 yds to the Alab 44,2022-10-01T19:52:39.000Z,2022,5,regular,neither,5.0,Successful,false,true,Jahmyr Gibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
