Defense,Offense,Quarter,Down,Drive_number,Play_number,Play_type,Yard_line,Distance,Yards_gained,Yards_to_goal,Scoring,Away,Clock,Defense_conference,Defense_score,Defense_timeouts,Drive_id,Game_id,Home,ID,Offense_conference,Offense_score,Offense_timeouts,Play_text,Wall_clock,Year,Week,Season,Who_scored,Yards_to_success,Success,TD_first,Score_drive,Runner,Passer,Receiver,Interceptor,Tackler,Forcer,Fumbler,Recoverer,PAT_kicker,PAT_type,Two_point,Two_point_type,Two_point_runner,Two_point_passer,Two_point_receiver,Kicker,Kick_type,Returner,Blocker,FG_type,Punter,Punt_type,Timeout_team,Timeout_time,Penalty1_type,Penalty1_status,Penalty1_team,Penalty1_transgressor,Penalty2_type,Penalty2_status,Penalty2_team,Penalty2_transgressor,Penalty3_type,Penalty3_status,Penalty3_team,Penalty3_transgressor
LSU,Alabama,1,1,1,1,Kickoff,65,10,22,65,false,Alabama,15:00,SEC,0,3,4014039341,401403934,LSU,401403934101849902,SEC,0,3,"Will Reichard kickoff for 58 yds , Noah Cain return for 22 yds to the LSU 29",2022-11-05T23:11:08.000Z,2022,10,regular,neither,5.0,Kickoff,true,false,,,,,,,,,,,,,,,,Will Reichard,returned,Noah Cain,,,,,,,,,,,,,,,,,,
Alabama,LSU,1,1,1,2,Pass Reception,29,10,3,71,false,Alabama,14:45,SEC,0,3,4014039341,401403934,LSU,401403934101855401,SEC,0,3,Jayden Daniels pass complete to Josh Williams for 3 yds to the LSU 32,2022-11-05T23:11:37.000Z,2022,10,regular,neither,5.0,Unsuccessful,false,false,,Jayden Daniels,Josh Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,LSU,1,2,1,3,Rush,32,7,1,68,false,Alabama,14:25,SEC,0,3,4014039341,401403934,LSU,401403934101857401,SEC,0,3,Jayden Daniels run for 1 yd to the LSU 33,2022-11-05T23:11:56.000Z,2022,10,regular,neither,4.8999999999999995,Unsuccessful,false,false,Jayden Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,LSU,1,3,1,4,Pass Reception,33,6,21,67,false,Alabama,13:50,SEC,0,3,4014039341,401403934,LSU,401403934101864901,SEC,0,3,"Jayden Daniels pass complete to Malik Nabers for 6 yds to the Alab 39 for a 1ST down ALABAMA Penalty, Roughing Passer (15 Yards) to the Alab 46 for a 1ST down",2022-11-05T23:13:48.000Z,2022,10,regular,neither,6,Successful,true,false,,Jayden Daniels,Malik Nabers,,,,,,,,,,,,,,,,,,,,,,Roughing Passer,enforced,Alabama,No data,,,,,,,,
Alabama,LSU,1,1,1,5,Penalty,54,10,-10,46,false,Alabama,13:30,SEC,0,3,4014039341,401403934,LSU,401403934101866901,SEC,0,3,"Daniels, Jayden rush for 9 yards to the ALABAMA37, PENALTY LSU holding 10 yards to the LSU44, NO PLAY.",2022-11-05T23:14:42.000Z,2022,10,regular,neither,5.0,Penalty,false,false,,,,,,,,,,,,,,,,,,,,,,,,,Holding,enforced,LSU,No data,,,,,,,,
Alabama,LSU,1,1,1,6,Rush,44,20,5,56,false,Alabama,13:05,SEC,0,3,4014039341,401403934,LSU,401403934101869401,SEC,0,3,Josh Williams run for 5 yds to the LSU 49,2022-11-05T23:15:12.000Z,2022,10,regular,neither,10.0,Unsuccessful,false,false,Josh Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,LSU,1,2,1,7,Pass Incompletion,49,15,0,51,false,Alabama,12:38,SEC,0,3,4014039341,401403934,LSU,401403934101876101,SEC,0,3,Jayden Daniels pass incomplete to Jaray Jenkins,2022-11-05T23:15:25.000Z,2022,10,regular,neither,10.5,Unsuccessful,false,false,,Jayden Daniels,Jaray Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,LSU,1,3,1,8,Pass Reception,49,15,-4,51,false,Alabama,12:28,SEC,0,3,4014039341,401403934,LSU,401403934101877101,SEC,0,3,Jayden Daniels pass complete to Malik Nabers for a loss of 4 yards to the LSU 45,2022-11-05T23:16:09.000Z,2022,10,regular,neither,15,Unsuccessful,false,false,,Jayden Daniels,Malik Nabers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,LSU,1,4,1,9,Punt,45,19,0,55,false,Alabama,11:49,SEC,0,3,4014039341,401403934,LSU,401403934101885001,SEC,0,3,Jay Bramblett punt for 55 yds for a touchback,2022-11-05T23:16:51.000Z,2022,10,regular,neither,19,Punt,false,false,,,,,,,,,,,,,,,,,,,,,Jay Bramblett,touchback,,,,,,,,,,,,,,
LSU,Alabama,1,1,2,1,Pass Reception,80,10,19,80,false,Alabama,11:35,SEC,0,3,4014039342,401403934,LSU,401403934101886401,SEC,0,3,Bryce Young pass complete to Ja'Corey Brooks for 19 yds to the Alab 39 for a 1ST down,2022-11-05T23:20:26.000Z,2022,10,regular,neither,5.0,Successful,true,false,,Bryce Young,Ja'Corey Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
