Defense,Offense,Quarter,Down,Drive_number,Play_number,Play_type,Yard_line,Distance,Yards_gained,Yards_to_goal,Scoring,Away,Clock,Defense_conference,Defense_score,Defense_timeouts,Drive_id,Game_id,Home,ID,Offense_conference,Offense_score,Offense_timeouts,Play_text,Wall_clock,Year,Week,Season,Who_scored,Yards_to_success,Success,TD_first,Score_drive,Runner,Passer,Receiver,Interceptor,Tackler,Forcer,Fumbler,Recoverer,PAT_kicker,PAT_type,Two_point,Two_point_type,Two_point_runner,Two_point_passer,Two_point_receiver,Kicker,Kick_type,Returner,Blocker,FG_type,Punter,Punt_type,Timeout_team,Timeout_time,Penalty1_type,Penalty1_status,Penalty1_team,Penalty1_transgressor,Penalty2_type,Penalty2_status,Penalty2_team,Penalty2_transgressor,Penalty3_type,Penalty3_status,Penalty3_team,Penalty3_transgressor
Utah State,Alabama,1,1,1,1,Kickoff,35,10,0,65,false,Utah State,15:00,Mountain West,0,3,4014038541,401403854,Alabama,401403854101849902,SEC,0,3,Will Reichard kickoff for 65 yds for a touchback,2022-09-03T23:39:20.000Z,2022,1,regular,neither,5.0,Kickoff,false,false,,,,,,,,,,,,,,,,Will Reichard,touchback,No data,,,,,,,,,,,,,,,,,,
Alabama,Utah State,1,1,1,2,Pass Reception,75,10,23,75,false,Utah State,14:45,SEC,0,3,4014038541,401403854,Alabama,401403854101855401,Mountain West,0,3,Logan Bonner pass complete to Brian Cobbs for 23 yds to the UthSt 48 for a 1ST down,2022-09-03T23:40:54.000Z,2022,1,regular,neither,5.0,Successful,true,false,,Logan Bonner,Brian Cobbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Utah State,1,1,1,3,Fumble Recovery (Own),52,10,-2,52,false,Utah State,14:30,SEC,0,3,4014038541,401403854,Alabama,401403854101856901,Mountain West,0,3,"Logan Bonner run for a loss of 2 yards to the UthSt 46 Logan Bonner fumbled, recovered by UthSt Calvin Tyler Jr.",2022-09-03T23:41:21.000Z,2022,1,regular,neither,5.0,Unsuccessful,false,false,,,,,,,Logan Bonner,UthSt Calvin Tyler Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Utah State,1,2,1,4,Rush,54,12,1,54,false,Utah State,13:50,SEC,0,3,4014038541,401403854,Alabama,401403854101864901,Mountain West,0,3,Calvin Tyler Jr. run for 1 yd to the UthSt 47,2022-09-03T23:41:59.000Z,2022,1,regular,neither,8.399999999999999,Unsuccessful,false,false,Calvin Tyler Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Utah State,1,3,1,5,Rush,53,11,3,53,false,Utah State,13:10,SEC,0,3,4014038541,401403854,Alabama,401403854101868901,Mountain West,0,3,Calvin Tyler Jr. run for 3 yds to the 50 yard line,2022-09-03T23:42:42.000Z,2022,1,regular,neither,11,Unsuccessful,false,false,Calvin Tyler Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Utah State,1,4,1,6,Punt,50,8,0,50,false,Utah State,12:48,SEC,0,3,4014038541,401403854,Alabama,401403854101875101,Mountain West,0,3,"Stephen Kotsanlee punt for 21 yds, punt out-of-bounds at the Alab 29",2022-09-03T23:43:16.000Z,2022,1,regular,neither,8,Punt,false,false,,,,,,,,,,,,,,,,,,,,,Stephen Kotsanlee,out-of-bounds,,,,,,,,,,,,,,
Utah State,Alabama,1,1,2,1,Rush,29,10,3,71,false,Utah State,12:40,Mountain West,0,3,4014038542,401403854,Alabama,401403854101875901,SEC,0,3,Jahmyr Gibbs run for 3 yds to the Alab 32,2022-09-03T23:43:50.000Z,2022,1,regular,neither,5.0,Unsuccessful,false,false,Jahmyr Gibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah State,Alabama,1,2,2,2,Pass Reception,32,7,20,68,false,Utah State,12:06,Mountain West,0,3,4014038542,401403854,Alabama,401403854101879301,SEC,0,3,"Bryce Young pass complete to Kobe Prentice for 5 yds to the UthSt 37 for a 1ST down UTAH ST Penalty, Face Mask (15 yards) (15 Yards) to the UthSt 48 for a 1ST down",2022-09-03T23:44:54.000Z,2022,1,regular,neither,4.8999999999999995,Successful,true,false,,Bryce Young,Kobe Prentice,,,,,,,,,,,,,,,,,,,,,,Face Mask,enforced,Utah State,No data,,,,,,,,
Utah State,Alabama,1,1,2,3,Pass Reception,52,10,14,48,false,Utah State,11:40,Mountain West,0,3,4014038542,401403854,Alabama,401403854101885901,SEC,0,3,Bryce Young pass complete to Traeshon Holden for 14 yds to the UthSt 34 for a 1ST down,2022-09-03T23:45:32.000Z,2022,1,regular,neither,5.0,Successful,true,false,,Bryce Young,Traeshon Holden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah State,Alabama,1,1,2,4,Pass Reception,66,10,-3,34,false,Utah State,11:20,Mountain West,0,3,4014038542,401403854,Alabama,401403854101887901,SEC,0,3,Bryce Young pass complete to Kobe Prentice for a loss of 3 yards to the UthSt 37,2022-09-03T23:45:49.000Z,2022,1,regular,neither,5.0,Unsuccessful,false,false,,Bryce Young,Kobe Prentice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
