Defense,Offense,Quarter,Down,Drive_number,Play_number,Play_type,Yard_line,Distance,Yards_gained,Yards_to_goal,Scoring,Away,Clock,Defense_conference,Defense_score,Defense_timeouts,Drive_id,Game_id,Home,ID,Offense_conference,Offense_score,Offense_timeouts,Play_text,Wall_clock,Year,Week,Season,Who_scored,Yards_to_success,Success,TD_first,Score_drive,Runner,Passer,Receiver,Interceptor,Tackler,Forcer,Fumbler,Recoverer,PAT_kicker,PAT_type,Two_point,Two_point_type,Two_point_runner,Two_point_passer,Two_point_receiver,Kicker,Kick_type,Returner,Blocker,FG_type,Punter,Punt_type,Timeout_team,Timeout_time,Penalty1_type,Penalty1_status,Penalty1_team,Penalty1_transgressor,Penalty2_type,Penalty2_status,Penalty2_team,Penalty2_transgressor,Penalty3_type,Penalty3_status,Penalty3_team,Penalty3_transgressor
Alabama,Kansas State,1,2,3,2,Pass Reception,41,8,10,59,false,Alabama,10:35,SEC,0,3,4014420183,401442018,Kansas State,401442018101896401,Big 12,0,3,Will Howard pass complete to Kade Warner for 10 yds to the Alab 49 for a 1ST down,2022-12-31T17:24:10.000Z,2022,1,postseason,neither,5.6,Successful,true,false,,Will Howard,Kade Warner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,1,1,3,3,Rush,51,10,-1,49,false,Alabama,9:32,SEC,0,3,4014420183,401442018,Kansas State,401442018101906701,Big 12,0,3,Deuce Vaughn run for a loss of 1 yard to the 50 yard line,2022-12-31T17:24:59.000Z,2022,1,postseason,neither,5.0,Unsuccessful,false,false,Deuce Vaughn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,1,2,3,4,Pass Reception,50,11,12,50,false,Alabama,9:25,SEC,0,3,4014420183,401442018,Kansas State,401442018101907401,Big 12,0,3,Will Howard pass complete to Phillip Brooks for 12 yds to the Alab 38 for a 1ST down,2022-12-31T17:25:20.000Z,2022,1,postseason,neither,7.699999999999999,Successful,true,false,,Will Howard,Phillip Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,1,1,3,5,Pass Incompletion,62,10,0,38,false,Alabama,8:54,SEC,0,3,4014420183,401442018,Kansas State,401442018101914501,Big 12,0,3,Will Howard pass incomplete to Malik Knowles,2022-12-31T17:25:52.000Z,2022,1,postseason,neither,5.0,Unsuccessful,false,false,,Will Howard,Malik Knowles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,1,2,3,6,Rush,62,10,4,38,false,Alabama,8:45,SEC,0,3,4014420183,401442018,Kansas State,401442018101915401,Big 12,0,3,Deuce Vaughn run for 4 yds to the Alab 34,2022-12-31T17:26:22.000Z,2022,1,postseason,neither,7.0,Unsuccessful,false,false,Deuce Vaughn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,1,3,3,7,Pass Reception,66,6,9,34,false,Alabama,7:50,SEC,0,3,4014420183,401442018,Kansas State,401442018101924901,Big 12,0,3,Will Howard pass complete to Ben Sinnott for 9 yds to the Alab 25 for a 1ST down,2022-12-31T17:27:20.000Z,2022,1,postseason,neither,6,Successful,true,false,,Will Howard,Ben Sinnott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,1,1,3,8,Rush,75,10,5,25,false,Alabama,7:32,SEC,0,3,4014420183,401442018,Kansas State,401442018101926701,Big 12,0,3,Deuce Vaughn run for 5 yds to the Alab 20,2022-12-31T17:27:39.000Z,2022,1,postseason,neither,5.0,Successful,false,false,Deuce Vaughn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,1,2,3,9,Rush,80,5,-3,20,false,Alabama,6:58,SEC,0,3,4014420183,401442018,Kansas State,401442018101934101,Big 12,0,3,Deuce Vaughn run for a loss of 3 yards to the Alab 23,2022-12-31T17:28:15.000Z,2022,1,postseason,neither,3.5,Unsuccessful,false,false,Deuce Vaughn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,1,3,3,10,Pass Incompletion,77,8,0,23,false,Alabama,6:22,SEC,0,3,4014420183,401442018,Kansas State,401442018101937701,Big 12,0,3,Will Howard pass incomplete to Kade Warner,2022-12-31T17:28:55.000Z,2022,1,postseason,neither,8,Unsuccessful,false,false,,Will Howard,Kade Warner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,1,4,3,11,Field Goal Good,77,8,41,23,true,Alabama,6:17,SEC,0,3,4014420183,401442018,Kansas State,401442018101938201,Big 12,3,3,Ty Zentner 41 yd FG GOOD,2022-12-31T17:29:30.000Z,2022,1,postseason,offense,8,Field Goal,false,false,,,,,,,,,,,,,,,,Ty Zentner,,,,made,,,,,,,,,,,,,,,,
Alabama,Kansas State,1,4,4,1,Kickoff,35,8,0,65,false,Alabama,6:17,SEC,0,3,4014420184,401442018,Kansas State,401442018101938202,Big 12,3,3,Ty Zentner kickoff for 65 yds for a touchback,2022-12-31T17:32:38.000Z,2022,1,postseason,neither,8,Kickoff,false,false,,,,,,,,,,,,,,,,Ty Zentner,touchback,No data,,,,,,,,,,,,,,,,,,
Kansas State,Alabama,1,1,4,2,Pass Reception,75,10,6,75,false,Alabama,5:57,Big 12,3,3,4014420184,401442018,Kansas State,401442018101944201,SEC,0,3,Bryce Young pass complete to Jahmyr Gibbs for 6 yds to the Alab 31,2022-12-31T17:33:39.000Z,2022,1,postseason,neither,5.0,Successful,false,false,,Bryce Young,Jahmyr Gibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State,Alabama,1,2,4,3,Pass Incompletion,69,4,0,69,false,Alabama,5:40,Big 12,3,3,4014420184,401442018,Kansas State,401442018101945901,SEC,0,3,Bryce Young pass incomplete to Jermaine Burton,2022-12-31T17:34:02.000Z,2022,1,postseason,neither,2.8,Unsuccessful,false,false,,Bryce Young,Jermaine Burton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State,Alabama,1,3,4,4,Pass Reception,69,4,19,69,false,Alabama,5:33,Big 12,3,3,4014420184,401442018,Kansas State,401442018101946601,SEC,0,3,Bryce Young pass complete to Ja'Corey Brooks for 19 yds to the 50 yard line for a 1ST down,2022-12-31T17:34:48.000Z,2022,1,postseason,neither,4,Successful,true,false,,Bryce Young,Ja'Corey Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State,Alabama,1,1,4,5,Rush,50,10,2,50,false,Alabama,5:10,Big 12,3,3,4014420184,401442018,Kansas State,401442018101948901,SEC,0,3,Jahmyr Gibbs run for 2 yds to the KanSt 48,2022-12-31T17:35:28.000Z,2022,1,postseason,neither,5.0,Unsuccessful,false,false,Jahmyr Gibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State,Alabama,1,2,4,6,Sack,48,8,-11,48,false,Alabama,4:24,Big 12,3,3,4014420184,401442018,Kansas State,401442018101957501,SEC,0,3,Bryce Young sacked by Daniel Green for a loss of 11 yards to the Alab 41,2022-12-31T17:35:57.000Z,2022,1,postseason,neither,5.6,Unsuccessful,false,false,,Bryce Young,,,Daniel Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State,Alabama,1,3,4,7,Pass Reception,59,19,10,59,false,Alabama,3:47,Big 12,3,3,4014420184,401442018,Kansas State,401442018101965201,SEC,0,3,Bryce Young pass complete to Jase McClellan for 10 yds to the KanSt 49,2022-12-31T17:37:59.000Z,2022,1,postseason,neither,19,Unsuccessful,false,false,,Bryce Young,Jase McClellan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State,Alabama,1,4,4,8,Punt,49,9,0,49,false,Alabama,3:40,Big 12,3,3,4014420184,401442018,Kansas State,401442018101965901,SEC,0,3,"James Burnip punt for 37 yds, fair catch by Phillip Brooks at the KanSt 12",2022-12-31T17:38:39.000Z,2022,1,postseason,neither,9,Punt,false,false,,,,,,,,,,,,,,,,,,Phillip Brooks,,,James Burnip,fair catch,,,,,,,,,,,,,,
Alabama,Kansas State,1,1,5,1,Rushing Touchdown,12,10,88,88,true,Alabama,3:26,SEC,0,3,4014420185,401442018,Kansas State,401442018101967301,Big 12,10,3,Deuce Vaughn run for 88 yds for a TD (Ty Zentner KICK),2022-12-31T17:41:53.000Z,2022,1,postseason,offense,5.0,Successful,true,true,Deuce Vaughn,,,,,,,,Ty Zentner,made,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,1,1,6,1,Kickoff,35,10,30,65,false,Alabama,3:18,SEC,0,3,4014420186,401442018,Kansas State,401442018101968101,Big 12,10,3,"Ty Zentner kickoff for 64 yds , Jahmyr Gibbs return for 30 yds to the Alab 31",2022-12-31T17:43:41.000Z,2022,1,postseason,neither,5.0,Kickoff,true,true,,,,,,,,,,,,,,,,Ty Zentner,returned,Jahmyr Gibbs,,,,,,,,,,,,,,,,,,
Kansas State,Alabama,1,1,6,2,Pass Incompletion,69,10,0,69,false,Alabama,3:12,Big 12,10,3,4014420186,401442018,Kansas State,401442018101968701,SEC,0,3,Bryce Young pass incomplete to Jermaine Burton,2022-12-31T17:44:23.000Z,2022,1,postseason,neither,5.0,Unsuccessful,false,true,,Bryce Young,Jermaine Burton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State,Alabama,1,2,6,3,Rush,69,10,0,69,false,Alabama,2:57,Big 12,10,3,4014420186,401442018,Kansas State,401442018101974201,SEC,0,3,Jase McClellan run for no gain to the Alab 31,2022-12-31T17:44:48.000Z,2022,1,postseason,neither,7.0,Unsuccessful,false,true,Jase McClellan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State,Alabama,1,3,6,4,Pass Reception,69,10,60,69,false,Alabama,1:50,Big 12,10,3,4014420186,401442018,Kansas State,401442018101984901,SEC,0,3,Bryce Young pass complete to Jahmyr Gibbs for 60 yds to the KanSt 9 for a 1ST down,2022-12-31T17:46:01.000Z,2022,1,postseason,neither,10,Successful,true,true,,Bryce Young,Jahmyr Gibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State,Alabama,1,1,6,5,Rush,9,9,-2,9,false,Alabama,1:41,Big 12,10,3,4014420186,401442018,Kansas State,401442018101985801,SEC,0,3,Jahmyr Gibbs run for a loss of 2 yards to the KanSt 11,2022-12-31T17:46:10.000Z,2022,1,postseason,neither,4.5,Unsuccessful,false,true,Jahmyr Gibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State,Alabama,1,2,6,6,Rush,11,11,5,11,false,Alabama,1:12,Big 12,10,3,4014420186,401442018,Kansas State,401442018101988701,SEC,0,3,Jahmyr Gibbs run for 5 yds to the KanSt 6,2022-12-31T17:46:39.000Z,2022,1,postseason,neither,7.699999999999999,Unsuccessful,false,true,Jahmyr Gibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State,Alabama,1,3,6,7,Passing Touchdown,6,6,6,6,true,Alabama,0:32,Big 12,10,3,4014420186,401442018,Kansas State,401442018101996701,SEC,7,3,Bryce Young pass complete to Isaiah Bond for 6 yds for a TD (Will Reichard KICK),2022-12-31T17:47:50.000Z,2022,1,postseason,offense,6,Successful,true,true,,Bryce Young,Isaiah Bond,,,,,,Will Reichard,made,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State,Alabama,1,3,7,1,Kickoff,65,7,8,65,false,Alabama,0:27,Big 12,10,3,4014420187,401442018,Kansas State,401442018101997201,SEC,7,3,"Will Reichard kickoff for 63 yds , Phillip Brooks return for 8 yds to the KanSt 10",2022-12-31T17:49:35.000Z,2022,1,postseason,neither,7,Kickoff,true,false,,,,,,,,,,,,,,,,Will Reichard,returned,Phillip Brooks,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,1,1,7,2,Rush,10,10,2,90,false,Alabama,0:21,SEC,7,3,4014420187,401442018,Kansas State,401442018101997801,Big 12,10,3,Deuce Vaughn run for 2 yds to the KanSt 12,2022-12-31T17:11:34.000Z,2022,1,postseason,neither,5.0,Unsuccessful,false,false,Deuce Vaughn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,1,0,7,3,End Period,10,10,0,90,false,Alabama,0:00,SEC,7,3,4014420187,401442018,Kansas State,401442018101997802,Big 12,10,3,End of 1st Quarter,2022-12-31T17:50:26.000Z,2022,1,postseason,neither,10,End of,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,2,2,7,4,Pass Incompletion,12,8,0,88,false,Alabama,14:56,SEC,7,3,4014420187,401442018,Kansas State,401442018102854301,Big 12,10,3,Will Howard pass incomplete to Ben Sinnott,2022-12-31T17:53:46.000Z,2022,1,postseason,neither,5.6,Unsuccessful,false,false,,Will Howard,Ben Sinnott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,2,3,7,5,Pass Incompletion,12,8,0,88,false,Alabama,14:50,SEC,7,3,4014420187,401442018,Kansas State,401442018102854901,Big 12,10,3,Will Howard pass incomplete to Kade Warner,2022-12-31T17:54:18.000Z,2022,1,postseason,neither,8,Unsuccessful,false,false,,Will Howard,Kade Warner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,2,4,7,6,Punt,12,8,0,88,false,Alabama,14:42,SEC,7,3,4014420187,401442018,Kansas State,401442018102855701,Big 12,10,3,"Ty Zentner punt for 51 yds, fair catch by Kool-Aid McKinstry at the Alab 37",2022-12-31T17:55:48.000Z,2022,1,postseason,neither,8,Punt,false,false,,,,,,,,,,,,,,,,,,Kool-Aid McKinstry,,,Ty Zentner,fair catch,,,,,,,,,,,,,,
Kansas State,Alabama,2,1,8,1,Rush,63,10,2,63,false,Alabama,14:25,Big 12,10,3,4014420188,401442018,Kansas State,401442018102857401,SEC,7,3,Jahmyr Gibbs run for 2 yds to the Alab 39,2022-12-31T17:56:05.000Z,2022,1,postseason,neither,5.0,Unsuccessful,false,true,Jahmyr Gibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
